Title: Memberships of the open cluster NGC 6405 based on a combined method: 
       Gaussian mixture model and random forest 
Authors: Gao X.
Table: A catalogue of fundamental information for 518 likely cluster members 
    with PRF >= 0.6
================================================================================
Byte-by-byte Description of file: ajaad690t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label  Explanations
--------------------------------------------------------------------------------
   1- 19 I19    ---   Gaia   Gaia DR2 identifier
  21- 35 F15.11 deg   RAdeg  Gaia DR2 Right Ascension, decimal degrees (J2000)
  37- 51 F15.11 deg   DEdeg  Gaia DR2 Declination, decimal degrees (J2000)
  53- 57 F5.3   ---   PRF    RF membership probability
--------------------------------------------------------------------------------
4054223010341368704 265.05610754016 -32.21941814777 1.000 
4054224281651718656 265.07875268242 -32.17016025204 1.000 
4054222220067408768 265.00681714281 -32.23769450882 1.000 
4054967856397970816 264.81046459000 -32.21875339841 1.000 
4054972533624633344 264.91927891322 -32.24087310567 1.000 
4054217822020696960 265.09639322558 -32.31688011836 1.000 
4054215382479484160 264.87217077535 -32.33416386301 1.000 
4054318564734602752 265.10469636016 -32.10311798615 1.000 
4054318869659438080 265.18368604699 -32.07074455830 1.000 
4054967654541892992 264.80910804902 -32.22757671533 1.000 
4054317357830919424 265.19069836289 -32.13201525117 1.000 
4054206998702927104 265.24662606437 -32.31583837786 1.000 
4054223766255637632 265.04149255561 -32.20618237611 1.000 
4054217512783389696 265.00816342224 -32.34583363878 1.000 
4054973839294794240 264.88252473085 -32.17328714846 1.000 
4054219780525857408 265.13464397898 -32.23732800124 1.000 
4054221769040866816 264.96423562111 -32.25266198868 1.000 
4054976308893750272 264.94533079693 -32.06492368086 1.000 
4054223044701097472 265.07169584807 -32.21563787495 1.000 
4054217474070624640 265.00056432209 -32.34522966261 1.000 
4054215859165819392 264.88294122990 -32.29158384833 1.000 
4054972941639257088 264.91968898332 -32.20485828892 1.000 
4054224487810179072 265.08427885056 -32.13548131199 1.000 
4054966039634066048 264.84633362950 -32.32111016246 1.000 
4054222838542637952 265.08465408392 -32.22790608052 1.000 
4054221498512876672 265.03690529435 -32.23798444519 1.000 
4054973422675449088 264.92363136485 -32.16899283460 1.000 
4054219230770292096 265.22421865000 -32.24828857592 1.000 
4054314372846494464 265.19691562011 -32.15887854905 1.000 
4054215554278157952 264.89096743290 -32.33779174743 1.000 
4054221773390818304 264.97038177218 -32.25754381776 1.000 
4054973216517019008 264.97382292584 -32.17363237003 1.000 
4054217581502560640 265.04235820518 -32.34057216543 1.000 
4054218096898654208 265.07277443596 -32.30330474422 1.000 
4054217611509577728 265.02508438423 -32.33125688505 1.000 
4054220119773459840 265.18110917044 -32.21447163195 1.000 
4054221498512891520 265.02862608328 -32.23077419313 1.000 
4054220605159589120 265.02891615690 -32.31439576470 1.000 
4054220910047371520 264.98148212810 -32.28161896413 1.000 
