St,_2MASS,Rmag,Kmag,pmRA,pmDE,SpT1,mbol,DMph,DMkin,RV,vsini,SpT,EWHa,EWLi,Mm,u_Mm,n_Mm,f_Mm,Opt,Denis,_RA,_DE,RA,DEC
b'K',b'02414730-5259306',11.199999809265137,7.639999866485596,92.19999694824219,-4.199999809265137,b'K7.2',9.890000343322754,2.859999895095825,3.299999952316284,12.600000381469727,6.599999904632568,b'M2.1',-3.9600000381469727,14.800000190734863,b'Y',b'',b'RV',b'',1.0,1.0,40.44708,-52.99183,40.44708,-52.99183
b'K',b'03190864-3507002',10.399999618530273,7.71999979019165,,,b'K7.4',10.039999961853027,2.859999895095825,,13.199999809265137,4.599999904632568,b'K4.7',-0.3199999928474426,48.400001525878906,b'Y',b'',b'RV',b'',2.0,1.0,49.786,-35.11672,49.786,-35.11672
b'K',b'03315564-4359135',10.399999618530273,7.46999979019165,84.69999694824219,-8.399999618530273,b'M0.0',9.869999885559082,2.2699999809265137,3.200000047683716,15.100000381469727,7.5,b'K5.2',-1.1699999570846558,213.0,b'Y',b'',b'Li',b'',2.0,1.0,52.98183,-43.98708,52.98183,-43.98708
b'K',b'02414683-5259523',9.600000381469727,6.760000228881836,98.5,-14.0,b'K7.7',9.100000381469727,1.7200000286102295,3.0999999046325684,11.899999618530273,41.70000076293945,b'K5.3',-2.009999990463257,185.1999969482422,b'Y',b'',b'Li',b'',2.0,1.0,40.44512,-52.99786,40.44512,-52.99786
b'K',b'02423301-5739367',10.199999809265137,7.78000020980835,83.80000305175781,-8.800000190734863,b'K7.1',10.010000228881836,3.049999952316284,3.4000000953674316,12.199999809265137,4.800000190734863,b'K5.0',-0.6800000071525574,130.1999969482422,b'Y',b'',b'Li',b'',2.0,2.0,40.63754,-57.66019,40.63754,-57.66019
b'K',b'02073220-5940210',9.800000190734863,7.539999961853027,92.30000305175781,-23.299999237060547,b'K7.1',9.760000228881836,2.799999952316284,3.299999952316284,10.399999618530273,6.699999809265137,b'K4.1',-0.25,210.89999389648438,b'Y',b'',b'Li',b'',2.0,0.0,31.88417,-59.6725,31.88417,-59.6725
b'K',b'00422033-7747397',9.699999809265137,7.53000020980835,78.80000305175781,-30.700000762939453,b'K5.0',9.6899995803833,3.009999990463257,3.5999999046325684,11.600000381469727,10.199999809265137,b'K3.8',-0.1599999964237213,259.5,b'Y',b'',b'Li',b'',2.0,2.0,10.58471,-77.79436,10.58471,-77.79436
b'K',b'00251465-6130483',10.5,7.75,85.9000015258789,-55.900001525878906,b'K7.6',10.100000381469727,2.7899999618530273,3.299999952316284,8.399999618530273,6.800000190734863,b'K5.7',-0.6800000071525574,4.800000190734863,b'Y',b'',b'RV',b'',2.0,0.0,6.31104,-61.51342,6.31104,-61.51342
b'K',b'00345120-6154583',8.800000190734863,6.53000020980835,86.0,-50.79999923706055,b'K5.8',8.75,1.899999976158142,3.299999952316284,10.699999809265137,68.80000305175781,b'K4.6',-1.0700000524520874,375.0,b'Y',b'',b'Li',b'',2.0,1.0,8.71333,-61.91619,8.71333,-61.91619
b'K',b'21443012-6058389',10.699999809265137,7.869999885559082,40.29999923706055,-94.9000015258789,b'M0.0',10.3100004196167,2.7100000381469727,3.4000000953674316,3.299999952316284,5.900000095367432,b'K7.2',-1.4800000190734863,21.600000381469727,b'Y',b'',b'RV',b'',2.0,2.0,326.1255,-60.97747,326.1255,-60.97747
