Name,SpT,__3.6_,__4.5_,__5.8_,__8.0_,__24_,W1mag,W2mag,W3mag,W4mag,E4.5,E8.0,E24,EW2,EW3,EW4,WISE,_2M,Simbad,_RA,_DE,RA,DEC
b'2MASS J15321033-2158004',b'B9V',,7.050000190734863,,7.119999885559082,7.090000152587891,7.019999980926514,7.059999942779541,7.090000152587891,7.130000114440918,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',233.04304,-21.96678,233.04304,-21.96678
b'2MASS J15350863-2532397',b'M5.5',,,,,,13.369999885559082,13.140000343322754,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',233.78596,-25.54436,233.78596,-25.54436
b'2MASS J15351610-2544030',b'A0V',,7.150000095367432,,7.159999847412109,4.079999923706055,7.139999866485596,7.179999828338623,6.71999979019165,4.230000019073486,b'N',b'N',b'Y',b'N',b'Y',b'Y',b'WISE',b'2M',b'Simbad',233.81708,-25.73417,233.81708,-25.73417
b'2MASS J15354856-2958551',b'M4',,,,,,9.180000305175781,8.84000015258789,7.090000152587891,5.150000095367432,b'',b'',b'',b'Y',b'Y',b'Y',b'WISE',b'2M',b'Simbad',233.95233,-29.98197,233.95233,-29.98197
b'2MASS J15355111-2021008',b'M8',,,,,,13.449999809265137,13.079999923706055,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',233.96296,-20.35022,233.96296,-20.35022
b'2MASS J15355780-2324046',b'K3',,9.329999923706055,,9.270000457763672,9.3100004196167,9.319999694824219,9.289999961853027,9.1899995803833,,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',233.99083,-23.40128,233.99083,-23.40128
b'2MASS J15372849-2616474',b'B9IV',,,,,6.329999923706055,6.139999866485596,6.190000057220459,6.309999942779541,6.260000228881836,b'',b'',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',234.36871,-26.27983,234.36871,-26.27983
b'2MASS J15390006-1943569',b'B9V',,7.519999980926514,,7.519999980926514,7.139999866485596,7.480000019073486,7.510000228881836,7.46999979019165,7.519999980926514,b'N',b'N',b'Y',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',234.75025,-19.73247,234.75025,-19.73247
b'2MASS J15390187-2956307',b'K4',,,,,,9.399999618530273,9.350000381469727,9.109999656677246,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',234.75779,-29.94186,234.75779,-29.94186
b'2MASS J15392602-2958462',b'M2',,,,,,10.109999656677246,9.970000267028809,9.84000015258789,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',234.85842,-29.9795,234.85842,-29.9795
b'2MASS J15410679-2656263',b'G9',8.789999961853027,8.859999656677246,,8.859999656677246,8.600000381469727,8.8100004196167,8.84000015258789,8.760000228881836,,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',235.27829,-26.94064,235.27829,-26.94064
b'2MASS J15411302-2308161',b'M5.75',,,,,,13.640000343322754,13.369999885559082,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',235.30425,-23.13781,235.30425,-23.13781
b'2MASS J15413121-2520363',b'G9IVe',,7.179999828338623,,7.190000057220459,7.059999942779541,7.150000095367432,7.150000095367432,7.079999923706055,7.059999942779541,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',235.38004,-25.34342,235.38004,-25.34342
b'2MASS J15423609-2108428',b'M7',,,,,,13.050000190734863,12.84000015258789,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',235.65037,-21.14522,235.65037,-21.14522
b'2MASS J15441334-2522590',b'M1',,8.90999984741211,,8.829999923706055,8.729999542236328,8.899999618530273,8.890000343322754,8.779999732971191,,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',236.05558,-25.38306,236.05558,-25.38306
b'2MASS J15453662-2510493',b'M6',,,,,,12.789999961853027,12.1899995803833,10.609999656677246,,b'',b'',b'',b'Y',b'Y',b'',b'WISE',b'2M',b'Simbad',236.40258,-25.18036,236.40258,-25.18036
b'2MASS J15460529-2920531',b'M0',,,,,,9.380000114440918,9.350000381469727,9.170000076293945,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',236.52204,-29.34808,236.52204,-29.34808
b'2MASS J15470494-2137403',b'M4',,,,,,11.609999656677246,11.40999984741211,11.130000114440918,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',236.77058,-21.62786,236.77058,-21.62786
b'2MASS J15472282-2139141',b'M7.5',13.369999885559082,13.029999732971191,,,,13.6899995803833,13.069999694824219,,,b'Y',b'',b'',b'Y',b'',b'',b'WISE',b'2M',b'Simbad',236.84508,-21.65392,236.84508,-21.65392
b'2MASS J15480057-1815003',b'M6.5',,,,,,13.4399995803833,12.850000381469727,11.15999984741211,,b'',b'',b'',b'Y',b'Y',b'',b'WISE',b'2M',b'Simbad',237.00237,-18.25008,237.00237,-18.25008
b'2MASS J15480291-2908369',b'G9',,8.59000015258789,,8.5600004196167,8.430000305175781,8.569999694824219,8.59000015258789,8.520000457763672,,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',237.01212,-29.14358,237.01212,-29.14358
b'2MASS J15485212-2929002',b'A7IV',,7.260000228881836,,7.309999942779541,7.300000190734863,7.260000228881836,7.28000020980835,7.28000020980835,7.28000020980835,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',237.21717,-29.48339,237.21717,-29.48339
b'2MASS J15490414-2120150',b'M6',,,,,,12.630000114440918,12.369999885559082,11.760000228881836,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',237.26725,-21.3375,237.26725,-21.3375
b'2MASS J15492100-2600062',b'K0.5',7.829999923706055,7.920000076293945,7.829999923706055,7.820000171661377,7.809999942779541,7.860000133514404,7.860000133514404,7.690000057220459,,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',237.3375,-26.00172,237.3375,-26.00172
b'2MASS J15492260-2146574',b'M3.5',,,,,,10.970000267028809,10.800000190734863,10.739999771118164,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',237.34417,-21.78261,237.34417,-21.78261
b'2MASS J15493784-2514102',b'M6.5',,,,,,13.600000381469727,13.289999961853027,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',237.40767,-25.23617,237.40767,-25.23617
b'2MASS J15495069-2233511',b'M6.5',,,,,,12.430000305175781,12.100000381469727,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',237.46121,-22.56419,237.46121,-22.56419
b'2MASS J15495733-2201256',b'M6',,,,,,12.149999618530273,11.890000343322754,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',237.48887,-22.02378,237.48887,-22.02378
b'2MASS J15495979-2509033',b'A2V',,7.849999904632568,,7.849999904632568,7.159999847412109,7.829999923706055,7.860000133514404,7.699999809265137,6.900000095367432,b'N',b'N',b'Y',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',237.49912,-25.15092,237.49912,-25.15092
b'2MASS J15500499-2311537',b'M2',,8.649999618530273,,8.619999885559082,8.579999923706055,8.789999961853027,8.65999984741211,8.510000228881836,7.960000038146973,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',237.52079,-23.19825,237.52079,-23.19825
b'2MASS J15501958-2805237',b'M5.5',,,,,,13.279999732971191,12.720000267028809,11.140000343322754,,b'',b'',b'',b'Y',b'Y',b'',b'WISE',b'2M',b'Simbad',237.58158,-28.08992,237.58158,-28.08992
b'2MASS J15505641-2534189',b'G0',,7.869999885559082,,7.869999885559082,7.880000114440918,7.860000133514404,7.869999885559082,7.860000133514404,7.820000171661377,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',237.73504,-25.57192,237.73504,-25.57192
b'2MASS J15505874-2545046',b'B1.5Vn',,4.840000152587891,,4.940000057220459,4.900000095367432,4.789999961853027,,4.900000095367432,4.809999942779541,b'N',b'N',b'N',b'',b'N',b'N',b'WISE',b'2M',b'Simbad',237.74475,-25.75128,237.74475,-25.75128
b'2MASS J15510660-2402190',b'M2',,9.569999694824219,,9.529999732971191,9.109999656677246,9.640000343322754,9.5600004196167,9.489999771118164,,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',237.7775,-24.03861,237.7775,-24.03861
b'2MASS J15511870-2145235',b'M4',,,,,,11.0600004196167,10.859999656677246,10.869999885559082,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',237.82792,-21.75653,237.82792,-21.75653
b'2MASS J15512865-2927402',b'M5.5',,,,,,13.329999923706055,13.079999923706055,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',237.86937,-29.46117,237.86937,-29.46117
b'2MASS J15514032-2146103',b'M4',,,,,,10.520000457763672,10.050000190734863,8.729999542236328,7.409999847412109,b'',b'',b'',b'Y',b'Y',b'Y',b'WISE',b'2M',b'Simbad',237.918,-21.76953,237.918,-21.76953
b'2MASS J15514758-2329332',b'M6.5',,,,,,13.079999923706055,12.729999542236328,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',237.94825,-23.49256,237.94825,-23.49256
b'2MASS J15521088-2125372',b'>M4',,,,,,11.010000228881836,10.149999618530273,8.859999656677246,6.920000076293945,b'',b'',b'',b'Y',b'Y',b'Y',b'WISE',b'2M',b'Simbad',238.04533,-21.427,238.04533,-21.427
b'2MASS J15522255-2313361',b'M6',,,,,,12.569999694824219,12.260000228881836,,,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',238.09396,-23.22669,238.09396,-23.22669
b'2MASS J15523122-2633529',b'M0',,,,,,8.829999923706055,8.84000015258789,8.770000457763672,,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',238.13008,-26.56469,238.13008,-26.56469
b'2MASS J15530132-2114135',b'M4',,,,,,10.710000038146973,10.270000457763672,8.399999618530273,6.690000057220459,b'',b'',b'',b'Y',b'Y',b'Y',b'WISE',b'2M',b'Simbad',238.2555,-21.23708,238.2555,-21.23708
