__PGZ2001_,f__PGZ2001_,EWLi,u_EWLi,EWHa,u_EWHa,SpType,u_SpType,_RA,_DE,RA,DEC
b'160159.7-195219',b'',0.4699999988079071,b'',-2.700000047683716,b'',b'M 5',b'',240.4987,-19.8719,240.4987,-19.8719
b'160210.9-200749',b'',0.6499999761581421,b'',-3.5,b'',b'M 5',b'',240.5454,-20.1303,240.5454,-20.1303
b'160222.4-195653',b'',0.4000000059604645,b':',-6.599999904632568,b'',b'M 3',b'',240.5933,-19.9481,240.5933,-19.9481
b'160226.2-200241',b'',0.4699999988079071,b'',-4.900000095367432,b'',b'M 5',b'',240.6092,-20.0447,240.6092,-20.0447
b'160236.2-191732',b'',0.4000000059604645,b':',0.699999988079071,b'',b'M 3',b'',240.6508,-19.2922,240.6508,-19.2922
b'160245.4-194604',b'',0.30000001192092896,b':',0.699999988079071,b'',b'M 2',b'',240.6892,-19.7678,240.6892,-19.7678
b'160245.4-193037',b'',0.5099999904632568,b'',-1.100000023841858,b'',b'M 5',b'',240.6892,-19.5103,240.6892,-19.5103
b'160325.6-194438',b'',0.20000000298023224,b'',-1.399999976158142,b'',b'M 2',b'',240.8567,-19.7439,240.8567,-19.7439
b'160329.4-195503',b'',0.4000000059604645,b'',-4.900000095367432,b'',b'M 5',b'',240.8725,-19.9175,240.8725,-19.9175
b'160341.8-200557',b'',0.30000001192092896,b':',-2.200000047683716,b'',b'M 2',b'',240.9242,-20.0992,240.9242,-20.0992
b'160343.3-201531',b'',0.49000000953674316,b'',-3.5,b'',b'M 2',b'',240.9304,-20.2586,240.9304,-20.2586
b'160350.4-194121',b'',0.5899999737739563,b'',-4.900000095367432,b'',b'M 5',b'',240.96,-19.6892,240.96,-19.6892
b'160357.9-194210',b'',0.3499999940395355,b'',-3.0,b'',b'M 2',b'',240.9912,-19.7028,240.9912,-19.7028
b'160407.7-194857',b'',0.2199999988079071,b'',-4.0,b'',b'M 5',b'',241.0321,-19.8158,241.0321,-19.8158
b'160418.2-191055',b'',0.7599999904632568,b'',-0.5,b'',b'M 4',b'',241.0758,-19.1819,241.0758,-19.1819
b'160428.0-190434',b'',0.550000011920929,b'',-3.4000000953674316,b'',b'M 4',b'',241.1167,-19.0761,241.1167,-19.0761
b'160428.4-190441',b'',0.6800000071525574,b'',-5.0,b'',b'M 3',b'',241.1183,-19.0781,241.1183,-19.0781
b'160435.6-194830',b'',0.6299999952316284,b'',-7.199999809265137,b'',b'M 5',b'',241.1483,-19.8083,241.1483,-19.8083
b'160439.1-194245',b'',0.6100000143051147,b'',-3.799999952316284,b'',b'M 4',b'',241.1629,-19.7125,241.1629,-19.7125
b'160449.9-203835',b'',0.6499999761581421,b'',-7.800000190734863,b'',b'M 5',b'',241.2079,-20.6431,241.2079,-20.6431
b'160456.4-194045',b'',0.5400000214576721,b'',-5.199999809265137,b'',b'M 4',b'',241.235,-19.6792,241.235,-19.6792
b'160456.4-194045',b'',0.6000000238418579,b'',-4.400000095367432,b'',b'M 4',b'',241.235,-19.6792,241.235,-19.6792
b'160502.1-203507',b'',0.5699999928474426,b'',-5.900000095367432,b'',b'M 2',b'',241.2587,-20.5853,241.2587,-20.5853
b'160508.3-201531',b'',0.5799999833106995,b'',-4.300000190734863,b'',b'M 4',b'',241.2846,-20.2586,241.2846,-20.2586
b'160508.4-201532',b'',0.46000000834465027,b'',-5.5,b'',b'M 4',b'',241.285,-20.2589,241.285,-20.2589
