HIP,Memb,Simbad,_RA,_DE,RA,DEC
50520.0,62.0,b'Simbad',154.77114,-64.67626,154.77114,-64.67626
50847.0,62.0,b'Simbad',155.74228,-66.9015,155.74228,-66.9015
52357.0,82.0,b'Simbad',160.49855,-63.5073,160.49855,-63.5073
52742.0,61.0,b'Simbad',161.73947,-56.75719,161.73947,-56.75719
53701.0,68.0,b'Simbad',164.80838,-61.32074,164.80838,-61.32074
53771.0,91.0,b'Simbad',165.03449,-51.8178,165.03449,-51.8178
54231.0,88.0,b'Simbad',166.44059,-47.4423,166.44059,-47.4423
54767.0,64.0,b'Simbad',168.18836,-64.16977,168.18836,-64.16977
55188.0,78.0,b'Simbad',169.49224,-64.0426,169.49224,-64.0426
55334.0,58.0,b'Simbad',169.96976,-70.61847,169.96976,-70.61847
55425.0,61.0,b'Simbad',170.25169,-54.49102,170.25169,-54.49102
55899.0,72.0,b'Simbad',171.8724,-39.8765,171.8724,-39.8765
56227.0,58.0,b'Simbad',172.89565,-67.73184,172.89565,-67.73184
56354.0,84.0,b'Simbad',173.27323,-54.32459,173.27323,-54.32459
56379.0,83.0,b'Simbad',173.356,-70.19479,173.356,-70.19479
56963.0,81.0,b'Simbad',175.16077,-49.50919,175.16077,-49.50919
57375.0,51.0,b'Simbad',176.43662,-52.69051,176.43662,-52.69051
57710.0,81.0,b'Simbad',177.52994,-49.54321,177.52994,-49.54321
57809.0,82.0,b'Simbad',177.80474,-43.93306,177.80474,-43.93306
57851.0,73.0,b'Simbad',177.96344,-65.20591,177.96344,-65.20591
57947.0,50.0,b'Simbad',178.26945,-58.25348,178.26945,-58.25348
57950.0,76.0,b'Simbad',178.28337,-56.72725,178.28337,-56.72725
58146.0,77.0,b'Simbad',178.87025,-62.19642,178.87025,-62.19642
58167.0,87.0,b'Simbad',178.93145,-54.18069,178.93145,-54.18069
58220.0,88.0,b'Simbad',179.11068,-58.82134,179.11068,-58.82134
58283.0,53.0,b'Simbad',179.30166,-36.08268,179.30166,-36.08268
58416.0,87.0,b'Simbad',179.66222,-52.76871,179.66222,-52.76871
58452.0,82.0,b'Simbad',179.7945,-45.83222,179.7945,-45.83222
58465.0,88.0,b'Simbad',179.8489,-57.16798,179.8489,-57.16798
58528.0,85.0,b'Simbad',180.03919,-57.11722,180.03919,-57.11722
58720.0,59.0,b'Simbad',180.65705,-69.19229,180.65705,-69.19229
58859.0,83.0,b'Simbad',181.0696,-51.47252,181.0696,-51.47252
58884.0,78.0,b'Simbad',181.16202,-68.32891,181.16202,-68.32891
58899.0,84.0,b'Simbad',181.18532,-52.35435,181.18532,-52.35435
58901.0,51.0,b'Simbad',181.18854,-59.25329,181.18854,-59.25329
59119.0,60.0,b'Simbad',181.84508,-32.66185,181.84508,-32.66185
59173.0,66.0,b'Simbad',182.02177,-50.66127,182.02177,-50.66127
59257.0,63.0,b'Simbad',182.33521,-42.83846,182.33521,-42.83846
59282.0,88.0,b'Simbad',182.41161,-58.34965,182.41161,-58.34965
59397.0,86.0,b'Simbad',182.77447,-56.40136,182.77447,-56.40136
59413.0,86.0,b'Simbad',182.81172,-52.21755,182.81172,-52.21755
59449.0,60.0,b'Simbad',182.91299,-52.36846,182.91299,-52.36846
59481.0,88.0,b'Simbad',182.99512,-50.77015,182.99512,-50.77015
59502.0,86.0,b'Simbad',183.04281,-63.45412,183.04281,-63.45412
59505.0,81.0,b'Simbad',183.05004,-54.23046,183.05004,-54.23046
59603.0,82.0,b'Simbad',183.34311,-56.89322,183.34311,-56.89322
59693.0,74.0,b'Simbad',183.61935,-47.6128,183.61935,-47.6128
59716.0,64.0,b'Simbad',183.71134,-55.78987,183.71134,-55.78987
59724.0,59.0,b'Simbad',183.73484,-47.9485,183.73484,-47.9485
59747.0,75.0,b'Simbad',183.78632,-58.74893,183.78632,-58.74893
59781.0,82.0,b'Simbad',183.86777,-62.53905,183.86777,-62.53905
