RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC
1.0,b'J15390696-2646320',0.46000000834465027,0.019999999552965164,-1.2200000286102295,0.029999999329447746,b'M0.5',0.20000000298023224,0.0,b'2M',b'Simbad',234.77899999999997,-26.775583333333334
2.0,b'J15413121-2520363',0.4000000059604645,0.009999999776482582,-2.700000047683716,0.03999999910593033,b'K2.5',0.10000000149011612,0.0,b'2M',b'Simbad',235.38004166666664,-25.343416666666666
3.0,b'J15422621-2247458',0.46000000834465027,0.03999999910593033,-3.0799999237060547,0.07000000029802322,b'M1.5',0.30000001192092896,0.0,b'2M',b'Simbad',235.6092083333333,-22.796111111111113
4.0,b'J15450970-2512430',0.6100000143051147,0.019999999552965164,-2.0199999809265137,0.03999999910593033,b'M1.5',0.4000000059604645,0.0,b'2M',b'Simbad',236.2904583333333,-25.211944444444445
5.0,b'J15471063-1736244',0.5199999809265137,0.05000000074505806,-4.199999809265137,0.07999999821186066,b'M2.0',0.20000000298023224,0.0,b'2M',b'Simbad',236.79429166666662,-17.60675
6.0,b'J15474331-1819153',0.550000011920929,0.019999999552965164,-1.8200000524520874,0.03999999910593033,b'M1.5',0.0,0.0,b'2M',b'Simbad',236.93045833333332,-18.320944444444443
7.0,b'J15492100-2600062',0.4399999976158142,0.019999999552965164,-0.09000000357627869,0.019999999552965164,b'K4.5',0.10000000149011612,0.0,b'2M',b'Simbad',237.33749999999998,-26.00175
8.0,b'J15492508-2843527',0.5400000214576721,0.029999999329447746,-2.390000104904175,0.05000000074505806,b'M2.0',0.0,0.0,b'2M',b'Simbad',237.35454166666662,-28.731333333333332
9.0,b'J15530683-2247174',0.6600000262260437,0.029999999329447746,-4.28000020980835,0.05999999865889549,b'M1.0',0.699999988079071,0.0,b'2M',b'Simbad',238.2784583333333,-22.78816666666667
10.0,b'J15540358-2920154',0.46000000834465027,0.029999999329447746,-1.75,0.03999999910593033,b'M1.5',0.0,0.0,b'2M',b'Simbad',238.51487499999996,-29.337666666666667
11.0,b'J15550213-2149434',0.47999998927116394,0.019999999552965164,-0.46000000834465027,0.029999999329447746,b'M0.0',0.30000001192092896,0.0,b'2M',b'Simbad',238.75891666666664,-21.82875
12.0,b'J15550513-2026077',0.4000000059604645,0.019999999552965164,-6.849999904632568,0.05000000074505806,b'M2.5',0.800000011920929,0.0,b'2M',b'Simbad',238.77137499999995,-20.435472222222224
13.0,b'J15550852-2318510',0.550000011920929,0.009999999776482582,-8.069999694824219,0.03999999910593033,b'M1.5',0.699999988079071,0.0,b'2M',b'Simbad',238.78554166666663,-23.314194444444446
14.0,b'J15552980-2544499',0.5299999713897705,0.019999999552965164,-1.7899999618530273,0.03999999910593033,b'M0.5',0.8999999761581421,0.0,b'2M',b'Simbad',238.8742083333333,-25.747222222222224
15.0,b'J15553928-2053071',0.8100000023841858,0.03999999910593033,-6.909999847412109,0.07000000029802322,b'M4.0',1.0,0.0,b'2M',b'Simbad',238.91366666666664,-20.88536111111111
16.0,b'J15554141-2043150',0.6399999856948853,0.009999999776482582,-6.099999904632568,0.03999999910593033,b'M1.0',0.6000000238418579,0.0,b'2M',b'Simbad',238.92254166666663,-20.72086111111111
17.0,b'J15555098-2519393',0.6000000238418579,0.029999999329447746,-5.050000190734863,0.10999999940395355,b'M4.5',0.0,0.0,b'2M',b'Simbad',238.96241666666663,-25.32761111111111
