designation,RA,DEC,glon,glat,w1mpro,w2mpro,w3mpro,w4mpro,pmra,pmdec,j_m_2mass,h_m_2mass,k_m_2mass,ra_2,raerr,dec_2,decerr,nobs,mobs,vjmag,bjmag,gmag,rmag,imag,evjmag,ebjmag,egmag,ermag,eimag,name,Separation
J020446.59-165954.2,31.1941441,-16.9983994,185.8617245,-70.2549959,12.491,12.509,11.824,8.747,NA,NA,13.142,12.644,12.522,31.195768,0.3,-16.998702,0.087,3,12,13.027,13.698,13.285,12.878,12.716,0.02,0.087,0.023,0.025,0.087,20160941,5.695783583260398
J015754.05-153724.9,29.4752213,-15.6235998,179.6006637,-70.755262,10.917,10.91,10.871,8.814,-23,-15,11.582,11.117,10.987,29.475176,0.082,-15.623614,0.064,4,20,13.291,14.133,13.709,13.013,12.733,0.011,0.016,0.028,0.015,0.014,20160811,0.16516464687803958
J011039.23-181855.3,17.6634739,-18.3153674,150.5927043,-80.138932,11.227,11.243,11.119,8.577,75,182,11.973,11.433,11.327,17.663522,0.224,-18.315172,0.306,5,22,13.749,14.746,14.261,13.368,13.018,0.017,0.026,0.059,0.08,0.047,20130937,0.722392728786356
J002209.59-090329.6,5.5399646,-9.0582445,100.6150746,-70.6507266,11.641,11.664,11.337,8.806,26,10,12.306,11.809,11.75,5.539997,0.221,-9.058245,0.296,4,20,13.972,14.792,14.375,13.746,13.322,0.021,0.031,0.056,0.013,0.087,20130407,0.11519942322434455
J002506.62-090127.1,6.2776232,-9.0241975,102.7376951,-70.8565769,12.35,12.374,11.781,7.78,NA,NA,13.227,12.665,12.609,6.278516,0.224,-9.024398,0.794,3,13,13.345,14.265,13.84,13.055,12.83,0.028,0.053,0.164,0.022,0.067,20160540,3.2553262942337513
J013942.97-161547.8,24.9290789,-16.2632807,171.2364595,-74.4053438,9.545,9.562,9.498,8.673,-46,100,10.266,9.744,9.636,24.929129,0.421,-16.263291,0.206,9,30,12.154,13.127,12.585,11.862,11.481,0.02,0.035,0.016,0.021,0.074,20160939,0.17706886988581455
J010823.81-004354.3,17.0992101,-0.7317528,132.3986521,-63.29137,11.415,11.423,11.303,8.344,-115,76,12.078,11.608,11.502,17.099212,0.157,-0.731774,0.13,4,20,13.72,14.504,14.129,13.467,13.175,0.048,0.062,0.1,0.058,0.1,20160142,0.07662584661284043
J010515.48-004133.4,16.314536,-0.6926236,130.654838,-63.3569596,9.846,9.863,9.898,8.671,0,4,10.62,10.059,9.935,16.31455,0.13,-0.69263,0.086,6,22,12.693,13.739,13.251,12.267,11.839,0.038,0.028,0.039,0.05,0.084,20160142,0.05541326928688584
J005413.00-250433.8,13.5541781,-25.0760796,139.9951596,-87.8551628,10.813,10.841,10.769,9.154,26,-9,11.458,10.958,10.879,13.554195,0.088,-25.076092,0.087,4,20,12.881,13.567,13.207,12.657,12.412,0.04,0.028,0.017,0.046,0.067,20161310,0.07091793678822897
J005554.92-252711.8,13.9788602,-25.4532893,154.1111787,-88.0474629,13.573,13.586,12.311,8.667,NA,NA,14.403,13.809,13.628,13.976982,0.157,-25.452984,0.066,4,20,12.649,13.205,12.886,12.515,12.444,0.037,0.022,0.016,0.027,0.043,20161310,6.203368217049308
J005027.92-251616.3,12.6163399,-25.2711994,116.1775835,-88.1302275,11.078,11.1,11.113,8.625,46,-69,11.852,11.265,11.138,12.616304,0.206,-25.271224,0.196,4,20,13.98,15.075,14.515,13.497,13.084,0.027,0.043,0.02,0.04,0.069,20161310,0.14663488534328764
J002538.79-212203.3,6.411646,-21.3675902,75.9800612,-81.7723463,10.626,10.622,10.522,8.718,-8,82,11.374,10.797,10.665,6.411626,0.288,-21.367612,0.186,4,20,13.63,14.678,14.163,13.189,12.798,0.029,0.019,0.031,0.025,0.028,20161061,0.10322271405328369
J005414.07-351712.5,13.5586592,-35.2868273,298.9177961,-81.8195532,10.613,10.625,10.504,9.04,-82,10,11.523,10.927,10.767,13.558685,0.33,-35.286828,0.231,6,22,13.734,14.865,14.275,13.295,12.908,0.073,0.042,0.04,0.09,0.096,20161657,0.07585706569560344
J005037.18-340816.7,12.6549537,-34.1379761,304.3187431,-82.9880119,10.779,10.788,10.746,8.555,62,55,11.505,10.927,10.836,12.654965,0.256,-34.137967,0.115,7,28,13.37,14.312,13.811,13.051,12.692,0.042,0.047,0.005,0.011,0.044,20161657,0.0469777774245096
J000107.68-250858.9,0.2820052,-25.1497123,40.0511006,-78.5421045,10.981,10.981,11.132,8.298,-67,418,11.666,11.161,11.084,0.282304,0.122,-25.150227,0.178,4,16,12.645,13.446,13.023,12.469,12.269,0.017,0.051,0.03,0.048,0.031,20161306,2.0931822294522537
J001446.37-224609.5,3.6932335,-22.7693103,58.6139862,-80.6197013,9.931,9.949,9.768,8.867,17,-22,10.679,10.1,9.974,3.693232,0.085,-22.769321,0.061,4,20,12.756,13.785,13.24,12.387,12.02,0.041,0.072,0.048,0.047,0.043,20161185,0.038840476862263856
