#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
79.45675,9.97280555555556,284905551,79.456752,9.972807,0.748699,-37.3547,13.784,STAR,2mass,0.00879347692386198,20180610,,,500-011502,05174962+0958221,,J051749.63+095821.8,3338707533514144896,39834355,,tmgaia,2.24453,2.24445,hsoy,NaN,NaN,,192.734925,-15.615886,79.338234,-13.07712,18.132,-0.255,16.938,0.366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.662,0.022,11.099,0.032,10.836,0.023,AAA-222-111-000-0-0,18.1,10.646,0.023,10.406,0.021,10.207,0.085,8.934,NaN,15.1764,0.00169405,0.017,gaiaj,,2990,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
76.4925,0.171138888888889,455032236,76.492502,0.171142,25.2937,-37.4776,8.391,STAR,2mass,0.0133146362040719,20180610,,0098-01223-1,451-008649,05055820+0010161,,J050558.21+001015.6,3227785089652489088,35544508,,tmgaia,0.577979,0.668705,tgas,5.41616,0.26762,tgas,200.034025,-23.197183,75.346709,-22.583669,10.444,0.057,9.363,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.549,0.019,7.063,0.023,6.93,0.027,AAA-111-111-000-0-0,11.5,6.877,0.06,6.947,0.02,6.902,0.017,6.95,0.087,9.01362,0.000345996,0.017,gaiaj,tplx,4900,179,3.10884,0.26628,NaN,NaN,4.10505,0.679269,0.801762,0.0943533,1.42252,4.26755,GIANT,0.3543816,0.3543816,184.6326,8.6934,0.0761398,NaN,0,NaN,,,NaN
86.6158333333333,7.25866666666667,156284069,86.615838,7.258666,-2.87317,-28.2622,11.105,STAR,2mass,0.016837289067449,20180610,,,487-013980,05462780+0715312,,J054627.79+071530.9,3333428297152838656,38374397,,tmgaia,1.08806,1.05965,hsoy,NaN,NaN,,198.845908,-10.914355,86.505085,-16.139578,13.928,0.034,12.502,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.064,0.023,9.398,0.022,9.241,0.019,AAA-222-111-000-0-0,14.1,9.152,0.024,9.202,0.021,9.101,0.035,8.655,NaN,11.8652,0.000345996,0.018,gaiaj,,4052,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
84.3268333333333,13.58125,52588257,84.326836,13.581254,6.7,-32.9,8.821,STAR,2mass,0.0171591982528228,20180610,,0726-00400-1,518-014069,05371844+1334525,,J053718.44+133452.2,3341551042383796992,40754576,,tmgaia,0.9,0.9,tycho2,NaN,NaN,,192.144116,-9.665297,84.404936,-9.74792,10.234,0.065,9.541,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.105,0.024,7.72,0.02,7.593,0.02,AAA-111-111-000-0-0,10.9,7.508,0.033,7.523,0.019,7.494,0.019,7.431,0.17,9.35198,0.000345996,0.018,gaiaj,splin,5580,187,4.38329,2.00399,NaN,NaN,1.05754,1.05754,0.9850445,0.124581,0.832851,2.49855,DWARF,0.9768408,0.9768408,78.1066,NaN,NaN,NaN,124,0.01627754,,,0.0003372702
78.793875,8.43233333333333,345584999,78.793881,8.432337,13.5956,-35.2013,7.356,STAR,2mass,0.0251150800572895,20180610,,,493-011518,05151053+0825564,,J051510.53+082555.9,3242451543975228928,38365572,,tmgaia,0.248858,0.367139,hsoy,NaN,NaN,,193.736979,-16.985642,78.543785,-14.562409,7.529,NaN,7.271,0.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.952,0.027,6.785,0.053,6.882,0.055,AAA-111-111-ddd-0-0,4.7,6.821,0.144,6.847,0.049,6.739,0.032,5.353,0.053,7.6489,0.000345996,0.019,gaiaj,,7983,219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.264829,NaN,0,NaN,,,NaN
90.2699583333333,3.06788888888889,282632159,90.269966,3.06789,-2.61095,-21.2263,11.589,STAR,2mass,0.0278492027383871,20180610,,,466-013877,06010479+0304044,,J060104.79+030404.3,3316404146302761088,36162263,,tmgaia,2.29221,2.29221,hsoy,NaN,NaN,,204.361275,-9.747356,90.287564,-20.371132,14.615,0.028,13.071,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.393,0.024,9.743,0.023,9.537,0.023,AAA-222-111-000-0-0,5.6,9.392,0.023,9.486,0.021,9.345,0.037,8.398,NaN,12.4523,0.000427786,0.018,gaiaj,,3905,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
79.8937916666667,12.9434444444444,412086854,79.893797,12.943438,8.43821,-28.4377,9.682,STAR,2mass,0.0298057864687024,20180610,,0707-00843-1,515-011385,05193451+1256364,,J051934.51+125636.1,3387821274817461376,40747764,,tmgaia,2.5901,1.97182,tgas,2.28218,0.231144,tgas,190.374691,-13.668074,79.995159,-10.145549,11.809,0.198,10.769,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.845,0.026,8.363,0.018,8.256,0.018,AAA-112-111-000-0-0,24.6,8.162,0.023,8.243,0.021,8.191,0.022,8.572,0.431,10.3009,0.000345996,0.019,gaiaj,tplx,5165,182,2.91004,0.410314,NaN,NaN,5.17726,1.12243,0.874144,0.105484,1.1794,3.53821,GIANT,0.5251178,0.5251178,438.1773,40.298,NaN,NaN,0,NaN,,,NaN
87.5746666666666,5.97741666666667,158819374,87.574675,5.977418,1.95116,-14.8144,13.1,STAR,2mass,0.0302205236364803,20180610,,,480-013934,05501792+0558387,,J055017.92+055838.8,3321067484354282240,38957981,,tmgaia,2.20964,2.20963,hsoy,NaN,NaN,,200.458003,-10.711046,87.471562,-17.440589,18.072,0.162,15.385,0.195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.391,0.023,10.474,0.022,10.159,0.025,AAA-222-111-000-0-0,4.6,9.935,0.022,10.007,0.021,9.825,0.057,8.468,NaN,14.2743,0.00104104,0.017,gaiaj,,3323,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
85.5757083333333,2.60619444444444,199913632,85.575716,2.606199,10.7947,-27.2995,7.913,STAR,2mass,0.0320802896258367,20180610,,0119-00390-1,464-012271,05421817+0236223,,J054218.18+023621.9,3223329593658613120,36150987,,tmgaia,0.505652,0.539675,tgas,5.21136,0.293182,tgas,202.489056,-14.087991,85.272728,-20.76052,8.703,0.035,8.292,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.519,0.02,7.401,0.047,7.334,0.02,AAA-111-111-000-0-0,11.7,7.242,0.037,7.277,0.019,7.235,0.016,7.149,0.096,8.19807,0.000345996,0.017,gaiaj,tplx,7800,216,3.84403,0.350673,NaN,NaN,2.69617,0.378594,1.8497,0.388442,0.0943755,0.0397564,DWARF,24.24196,6.808072,191.8884,15.4454,NaN,NaN,87,0.002586752,,,0.0001240726
88.9354583333333,2.50694444444444,281990730,88.935464,2.506952,4.55976,-16.7276,12.225,STAR,2mass,0.0339882890372,20180610,,,463-013540,05554451+0230250,1237674283786174476,J055544.51+023024.8,3316014678668866560,36157908,,tmgaia,2.18786,2.20013,hsoy,NaN,NaN,,204.222319,-11.187026,88.861357,-20.928132,15.576,0.034,14.217,0.092,17.1868,0.0104404,15.7662,0.00701367,13.6996,0.00251004,12.9455,0.00188788,13.2875,0.00648176,10.847,0.023,10.329,0.027,10.078,0.023,AAA-222-111-000-0-0,36.1,9.919,0.023,9.899,0.019,10.007,0.083,8.476,NaN,13.2037,0.000611846,0.017,gaiaj,,3641,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
