#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, m_Name, H09, logg, Teff, Fbol, __Fe_H_, __a_Fe_, RV, ageMLP, M_MLP, SimbadName, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, string, float, float, float, float, float, float, float, float, string, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Name,m_Name,H09,logg,Teff,Fbol,__Fe_H_,__a_Fe_,RV,ageMLP,M_MLP,SimbadName,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff_,e_Teff,logg_,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'HD 98222',b'',b'H09',4.48000001907349,5779,1.46300003223132E-08,0,0.0299999993294477,26.8999996185303,0.400000005960464,1.00999999046326,b'HD 98222',169.39625,-38.3808333333333,152025971,169.396261,-38.380839,-256.092,24.8648,7.569,STAR,2mass,0.0371456049348615,20180610,55159,7726-00398-1,259-053562,11173511-3822510,,J111734.88-382250.6,5396270509253995648,18347567,,tmgaia,0.0524213,0.0468762,tgas,22.1823,0.256652,tgas,283.413023,20.907682,188.461678,-38.831398,8.835,0.025,8.18,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.026,0.024,6.694,0.033,6.606,0.024,AAA-111-111-000-0-0,35.2,6.55,0.074,6.548,0.022,6.608,0.016,6.471,0.06,7.97071,0.000345996,0.018,gaiaj,tplx,5711.72,28.4347,4.35,0.07,0.08,0.03,1.02314,0.0903726,1.01216,0.123897,0.945026,0.250419,DWARF,1.003766,0.1773226,45.08099,0.802359,0.136729,NaN,55,0.002400694,,,0.006440753
b'HD 183312',b'',b'H09',4.26999998092651,7008,6.3592999310913E-08,-0.0900000035762787,0.0799999982118607,8.30000019073486,0.5,1.44000005722046,b'HD 183312',292.562083333333,-32.0913888888889,113051738,292.562096,-32.091385,111.206,-37.6326,6.221,STAR,2mass,0.0410909059677933,20180610,95905,7429-02895-1,290-213097,19301489-3205289,,J193014.97-320529.2,6745887772131439232,17221651,,tmgaia,0.0356672,0.0279924,tgas,19.198,0.591504,tgas,6.908581,-21.67405,289.282515,-10.150048,6.971,0.024,6.6,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.853,0.02,5.685,0.02,5.629,0.023,AAA-111-111-000-0-0,24.4,5.691,0.12,5.495,0.052,5.673,0.016,5.62,0.043,6.48483,0.000345996,0.017,gaiaj,tplx,6827.21,55.1402,NaN,NaN,NaN,NaN,1.73598,0.17796,1.51369,0.357917,0.289336,0.0889819,DWARF,5.898712,1.209386,52.08876,1.79951,0.0776919,NaN,107,0.002991197,,,0.003204159
b'HD 92320',b'',b'H09',4.55000019073486,5681,1.23959997821999E-08,-0.189999997615814,0.129999995231628,-0.699999988079071,0.100000001490116,0.959999978542328,b'HD 92320',160.237083333333,59.3425,289751219,160.237104,59.342514,-22.2823,-128.247,7.737,STAR,2mass,0.0630822486025034,20180610,52278,3829-00927-1,747-045878,10405690+5920330,,J104056.87+592031.7,855523709740407680,58204244,,tmgaia,0.0350235,0.0335442,tgas,21.9085,0.34614,tgas,148.68735,50.756863,133.802223,46.109353,9.06,0.023,8.38,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.148,0.021,6.852,0.034,6.805,0.018,AAA-111-111-000-0-0,43.6,6.769,0.069,6.761,0.022,6.794,0.016,6.704,0.07,8.17395,0.000345996,0.018,gaiaj,tplx,5697,41.785,NaN,NaN,NaN,NaN,0.94939,0.0865273,1.01063,0.123956,1.18102,0.322915,DWARF,0.8553993,0.155922,45.64439,0.954313,0.0115536,NaN,17,0.004182239,,,0.007394873
b'HD 122194',b'',b'H09',4.40000009536743,5936,5.30409982602009E-09,0.0900000035762787,-0.0299999993294477,0.800000011920929,0.200000002980232,1.07000005245209,b'HD 122194',210.265,-32.7569444444444,451213318,210.265022,-32.756948,-122.948,-119.902,8.743,STAR,2mass,0.0678238798946894,20180610,68468,7284-00327-1,287-071735,14010360-3245250,,J140103.50-324526.3,6170740901858422016,16332374,,tmgaia,0.0713888,0.0499807,tgas,10.6812,0.707416,tgas,319.465038,27.86977,219.750153,-19.1371,10.046,0.043,9.39,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.162,0.026,7.925,0.04,7.772,0.027,AAA-111-111-000-0-0,32,7.73,0.028,7.774,0.019,7.772,0.019,7.638,0.123,9.17367,0.000345996,0.019,gaiaj,tplx,5845.84,5.91059,4.37,0.0189737,0.0541584,0.00497519,1.23822,0.179636,1.04835,0.124587,0.552221,0.240342,DWARF,1.613162,0.4680622,93.62244,6.73514,0.0649943,NaN,58,0.001853976,,,0.002902781
b'HD 35689',b'',b'H09',4.34000015258789,6606,1.64009996694858E-08,-0.419999986886978,0.189999997615814,2.40000009536743,0.400000005960464,1.21000003814697,b'HD 35689',81.0220833333333,-47.3405555555556,7419313,81.022085,-47.340575,-4.97,-42.34,7.595,STAR,2mass,0.070117979083677,20180610,25256,8089-00252-1,214-006072,05240530-4720260,,J052405.29-472026.4,,22244949,,2mass,2,2,sblink,14.33,0.73,hip,253.554247,-34.032422,71.797186,-70.213132,8.464,NaN,8.03,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.168,0.024,7.004,0.029,6.932,0.023,AAA-111-111-000-0-0,44,6.91,0.058,6.909,0.019,6.924,0.015,6.89,0.066,NaN,NaN,0.033,vjk,hplx,6554.77,62.1428,NaN,NaN,NaN,NaN,1.29475,0.138537,1.35435,0.287538,0.623984,0.200297,DWARF,2.788023,0.5966316,69.78367,3.55493,0.0357681,NaN,34,0.0001805859,,,0.007137231
b'HD 56662',b'',b'H09',4.42999982833862,5923,2.32489991702778E-08,-0.150000005960464,0.0700000002980232,13.8999996185303,0.899999976158142,1.03999996185303,b'HD 56662',108.87125,-48.23,355276484,108.871276,-48.230012,-139.362,162.547,7.094,STAR,2mass,0.0758542898584832,20180610,35096,8123-00816-1,209-011727,07152910-4813480,,J071528.96-481346.3,5508648672152747392,22383992,,tmgaia,0.0833514,0.0895305,tgas,25.1144,0.209849,tgas,259.328518,-16.140406,127.415661,-69.230411,8.27,0.025,7.67,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.565,0.03,6.29,0.049,6.19,0.02,AAA-111-111-000-0-0,31.5,6.196,0.097,6.099,0.035,6.217,0.015,6.14,0.047,7.485,0.000345996,0.02,gaiaj,tplx,5877.64,44.7174,NaN,NaN,NaN,NaN,1.24378,0.109473,1.22562,0.20664,0.636979,0.168194,DWARF,1.663389,0.2928109,39.81779,0.580452,0.142228,NaN,99,0.006108524,,,0.008176032
b'HD 162026',b'',b'H09',4.59999990463257,5660,3.96659993739945E-09,-0.239999994635582,0.109999999403954,-23.7000007629395,0.100000001490116,0.939999997615814,b'HD 162026',268.979166666667,-72.6911111111111,343454344,268.979222,-72.691127,7.86981,-193.51,8.978,STAR,2mass,0.0823672528797781,20180610,87783,9297-01092-1,087-058331,17555501-7241281,,J175555.03-724130.1,5803618814063052032,34401213,,tmgaia,0.0832602,0.127153,tgas,12.9331,0.235508,tgas,321.05994,-21.827449,269.534724,-49.253484,10.313,0.039,9.64,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.396,0.024,8.071,0.031,7.986,0.027,AAA-111-111-000-0-0,17.5,7.953,0.026,8.007,0.021,7.988,0.018,7.902,0.183,9.4092,0.000345996,0.018,gaiaj,tplx,5660,80,NaN,NaN,NaN,NaN,0.988621,0.0952484,1.03467,0.123691,1.07081,0.309501,DWARF,0.9036913,0.1741318,77.32098,2.2802,0.0656357,NaN,80,0.002515932,,,0.004616835
b'HD 106840',b'',b'H09',4.46999979019165,5714,6.87929979648061E-09,0.159999996423721,-0.0299999993294477,-9.89999961853027,0.800000011920929,1.01999998092651,b'HD 106840',184.34375,-63.2269444444444,309036992,184.343796,-63.226955,-145.858,7.75767,8.342,STAR,2mass,0.0837169725791169,20180610,59913,8979-02092-1,134-072296,12172250-6313370,,J121722.29-631336.9,6054219160673633920,30712949,,tmgaia,0.0684376,0.0740324,tgas,14.542,0.254132,tgas,299.107017,-0.60845,220.70701,-53.663851,9.714,0.037,8.97,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.778,0.02,7.499,0.018,7.411,0.017,AAA-111-111-000-0-0,11.3,7.301,0.028,7.393,0.019,7.497,0.019,7.885,0.192,8.75918,0.000345996,0.017,gaiaj,tplx,5714,61,NaN,NaN,NaN,NaN,1.3495,0.126375,1.25961,0.228269,0.512528,0.143988,DWARF,1.749047,0.3275818,68.76633,1.85923,NaN,NaN,968,0.1019182,,,0.0003913258
b'HD 61313',b'',b'H09',3.44000005722046,6903,2.83649992383062E-08,0.119999997317791,-0.140000000596046,NaN,0.899999976158142,2.25,b'HD 61313',112.850833333333,-74.2905555555556,271890429,112.850827,-74.290581,1.59788,20.1992,7.075,STAR,2mass,0.091807786371776,20180610,36577,9191-01257-1,079-008567,07312419-7417260,,J073124.23-741725.7,5214570028011096832,33647644,,tmgaia,0.0452155,0.0432911,tgas,5.7189,0.244937,tgas,286.041154,-23.399696,235.676202,-79.253159,7.876,0.025,7.48,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.687,0.02,6.532,0.029,6.456,0.024,AAA-111-111-000-0-0,17.2,6.388,0.037,6.37,0.024,6.419,0.015,6.275,0.046,7.35469,0.000345996,0.017,gaiaj,tplx,6903,107,NaN,NaN,NaN,NaN,4.2065,0.497632,1.63007,0.376736,0.0219,0.00777235,DWARF,36.19828,8.564567,174.8588,11.8416,0.21278,NaN,55,0.01247187,,,0.00294093
b'HD 103932',b'',b'H09',4.67000007629395,4723,6.32520027465944E-08,0.620000004768372,0.200000002980232,48,0.200000002980232,0.779999971389771,b'HD 103932',179.484166666667,-27.7069444444444,403802333,179.484196,-27.706943,-1081.08,-621.046,5.657,STAR,2mass,0.0936361164435577,20180610,58345,6674-00576-1,312-066937,11575619-2742251,,,3487062438426209280,,,tmgaia,0.0423661,0.0200306,tgas,97.8294,0.741851,tgas,288.684173,33.680278,191.345616,-25.451887,8.126,0.018,6.99,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.992,0.037,4.617,0.242,4.525,0.3,EDD-133-111-d0d-0-0,45.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.48662,0.000345996,0.028,gaiav,tplx,4781.93,78.0869,NaN,NaN,0.156938,0.0193922,0.736625,0.0736829,0.794626,0.0935661,1.98803,0.596575,DWARF,0.2556233,0.05113882,NaN,NaN,0.0772898,NaN,28,4.032812E-05,,,1
