# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Source identifier}
# - {name: SpType, datatype: string, description: Spectral type (1)}
# - {name: Assoc, datatype: string, description: Association identifier (2)}
# - {name: RAh, unit: h, datatype: int64, description: Hour of Right Ascension (J2000) (3)}
# - {name: RAm, unit: min, datatype: int64, description: Minute of Right Ascension (J2000) (3)}
# - {name: RAs, unit: s, datatype: float64, description: Second of Right Ascension (J2000) (3)}
# - {name: DE-, datatype: string, description: Sign of the Declination (J2000)(3)}
# - {name: DEd, unit: deg, datatype: int64, description: Degree of Declination (J2000) (3)}
# - {name: DEm, unit: arcmin, datatype: int64, description: Arcminute of Declination (J2000) (3)}
# - {name: DEs, unit: arcsec, datatype: float64, description: Arcsecond of Declination (J2000) (3)}
# - {name: pmRA, unit: mas / yr, datatype: float64, description: Proper motion along RA times cos(DE)}
# - {name: e_pmRA, unit: mas / yr, datatype: float64, description: Uncertainty in pmRA}
# - {name: pmDE, unit: mas / yr, datatype: float64, description: Proper motion along DE}
# - {name: e_pmDE, unit: mas / yr, datatype: float64, description: Uncertainty in pmDE}
# - {name: plx, unit: mas, datatype: float64, description: Parallax}
# - {name: e_plx, unit: mas, datatype: float64, description: Uncertainty in plx}
# - {name: RVel, unit: km / s, datatype: float64, description: Radial velocity}
# - {name: e_RVel, unit: km / s, datatype: float64, description: Uncertainty in RVel}
# - {name: Amb, datatype: string, description: Identifiers of possible associations forambiguous candidates (4)}
# - {name: r_SpType, datatype: int64, description: Reference for SpType (5)}
# - {name: r_RVel, datatype: int64, description: Reference for RVel (5)}
# - {name: dstArcSec, datatype: float64}
# - {name: Tmag, datatype: float64}
# - {name: GAIA, datatype: object}
# - {name: Teff, datatype: object}
# - {name: MatchID, datatype: int64}
# - {name: MatchRA, datatype: float64}
# - {name: MatchDEC, datatype: float64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# schema: astropy-2.0
Name SpType Assoc RAh RAm RAs DE- DEd DEm DEs pmRA e_pmRA pmDE e_pmDE plx e_plx RVel e_RVel Amb r_SpType r_RVel dstArcSec Tmag GAIA Teff MatchID MatchRA MatchDEC ra dec
J0644-4137 (M4) ABDMG 6 44 54.065 - 41 37 27.38 -5.17 0.07 -20.89 0.07 20.37 0.04 "" "" "" "" "" 0.291669776602 12.502 5575461423926024704 3461 148270291 101.225286 -41.624192 101.225270833 -41.6242722222
J0646+1015 (M6) ABDMG 6 46 5.803 + 10 15 37.96 -19.38 0.38 -98.25 0.44 16.95 0.14 "" "" "" "" "" 1.69493980178 15.244 None 2978 202137752 101.5243 10.261 101.524179167 10.2605444444
J0650-3203 (M5) ABDMG 6 50 27.278 - 32 3 19.11 -26.22 0.08 -54.64 0.09 31.7 0.05 "" "" "" "" "" 1.05054352876 11.731 5583279329560931840 3389 53062654 102.613788 -32.055038 102.613658333 -32.0553083333
J0700-4447 (M6) ABDMG 7 0 34.277 - 44 47 13.56 -43.5 0.25 -14.42 0.25 45.22 0.13 "" "" "" "" "" 9.87639499255 14.216 5559137387107011584 6350 130513137 105.140729 -44.784793 105.142820833 -44.7871
J0703-4152 (M9) ABDMG 7 3 2.27 - 41 52 22.68 -11.7 1.2 -20.2 2.5 20.72 0.86 "" "" "" "" "" 0.675575503747 17.18 5562728121499689856 3646 157313158 105.759208 -41.872945 105.759458333 -41.8729666667
J0703-6110 (M8) ABDMG 7 3 23.851 - 61 10 3.23 -11.27 0.68 26.39 0.63 15.94 0.32 "" "" "" "" "" 8.24857718972 17.236 5479241065435674368 3992 348844683 105.846162 -61.16925 105.849379167 -61.1675638889
J0703-1723 (M4) ABDMG 7 3 38.676 - 17 23 39.06 -39.4 0.17 -77.74 0.14 24.67 0.1 "" "" "" "" "" 1.14277769416 11.597 2935286581165070080 3459 148101333 105.9113 -17.3939 105.91115 -17.3941833333
J0703-5505 (M8) ABDMG 7 3 59.359 - 55 5 58.52 -27.22 0.44 11.64 0.42 19.83 0.19 "" "" "" "" "" 0.499391895843 16.178 None None 279516277 105.997497 -55.099689 105.997329167 -55.0995888889
J0716+0817 (M6) ABDMG 7 16 6.314 + 8 17 24.19 -36.67 0.83 -151.22 0.79 27.18 0.49 "" "" "" "" "" 2.42798301545 14.099 None 2917 264416231 109.0265 8.2907 109.026308333 8.29005277778
J0724-4052 (M4) ABDMG 7 24 34.961 - 40 52 12.98 -53.46 0.08 -26.27 0.08 24.01 0.04 "" "" "" "" "" 0.874376542452 11.679 5560786998145460736 3383 173177973 111.145964 -40.870173 111.145670833 -40.8702722222
J0727-5320 (M7) ABDMG 7 27 25.752 - 53 20 32.24 -32.78 0.24 -2.87 0.22 22.47 0.1 "" "" "" "" "" 0.524625203062 15.802 5490938666565143168 None 291633913 111.857541 -53.342312 111.8573 -53.3422888889
J0741-4630 (M4) ABDMG 7 41 49.814 - 46 30 17.04 -28.97 0.09 -5.21 0.09 15.88 0.05 "" "" "" "" "" 0.685583813939 12.623 5530787819813761024 3277 123642034 115.457831 -46.504701 115.457558333 -46.5047333333
J0757-2226 (M5) ABDMG 7 57 5.117 - 22 26 43.83 -34.95 0.11 -71.91 0.18 23.04 0.1 "" "" "" "" "" 1.52398859829 12.381 5711228329461588992 3196 142844055 119.2712 -22.4451 119.271320833 -22.4455083333
J0801-5034 (M5) ABDMG 8 1 25.118 - 50 34 26.64 -47.97 0.36 -7.98 0.31 29.4 0.18 "" "" "" "" "" 0.81424073441 12.693 5513998895734764544 2953 238314110 120.355014 -50.574055 120.354658333 -50.5740666667
J0827-5152 (M6) ABDMG 8 27 36.408 - 51 52 52.67 -54.75 0.15 0.81 0.15 20.76 0.08 "" "" "" "" "" 0.911197923619 15.051 None None 140305443 126.90211 -51.881294 126.9017 -51.8812972222
J0831+1025 M9V ABDMG 8 31 55.92 + 10 25 39.1 -64.86 0.58 -171.81 0.44 31.56 0.3 "" "" "" 1 "" 2.80496571533 15.371 None None 366577296 127.983268 10.428261 127.983 10.4275277778
J0836-4838 (M6) ABDMG 8 36 36.106 - 48 38 11.23 -104.82 0.29 -18.24 0.22 35.94 0.12 "" "" "" "" "" 2.13111805436 13.339 None None 92841571 129.151215 -48.636154 129.150441667 -48.6364527778
J0836-4838 (M6) ABDMG 8 36 36.139 - 48 38 10.1 -91.35 0.41 -12.74 0.42 36.6 0.21 "" "" "" "" "" 1.51363722533 13.339 None None 92841571 129.151215 -48.636154 129.150579167 -48.6361388889
J0840-5753 (M7) ABDMG 8 40 35.686 - 57 53 58.8 -72.64 0.18 13.98 0.21 25.96 0.09 "" "" "" "" "" 1.23656296693 15.536 None None 45193132 130.149328 -57.899727 130.148691667 -57.8996666667
J0916-5440 (M5) ABDMG 9 16 19.306 - 54 40 44.64 -57.8 0.1 0.08 0.1 17.09 0.05 "" "" "" "" "" 8.43841428353 15.871 5310284336275407360 4229 386155542 139.079097 -54.681278 139.080441667 -54.6790666667
J0922-5917 (M8) ABDMG 9 22 36.002 - 59 17 27.33 -78.79 0.33 5.03 0.25 23.08 0.15 "" "" "" "" "" 4.87554174592 14.678 5300328533372023936 5629 436716244 140.651925 -59.289989 140.650008333 -59.290925
J0947+0224 M8.2V ABDMG 9 47 44.669 + 2 24 30.38 -107.31 0.4 -162.45 0.43 29.85 0.25 "" "" "" 2 "" 2.90041166714 15.804 3847024132835346688 None 455279224 146.93657 2.409108 146.936120833 2.40843888889
J0100+5055 M5.5e ABDMG 1 0 44.577 + 50 55 43.28 116.16 0.18 -89.13 0.15 25.28 0.11 "" "" "" 3 "" 2.4086444443 14.586 None 2823 307275906 15.1849 50.9291 15.1857375 50.9286888889
J0101-7250 (M9) ABDMG 1 1 17.145 - 72 50 49.25 74.5 3.0 -7.2 1.8 18.6 1.0 "" "" "" "" "" 1.48248369307 17.541 4685923604729139072 None 182303759 15.320042 -72.847 15.3214375 -72.8470138889
J0103+6105 (M2) ABDMG 1 3 3.752 + 61 5 47.87 86.67 0.04 -63.96 0.05 18.7 0.03 -17.1 0.3 "" "" 4 1.60283053509 10.958 426617864561108736 3948 52187513 15.7649 61.0969 15.7656333333 61.0966305556
J1019+4822 (M5) ABDMG 10 19 17.198 + 48 22 24.94 -104.15 0.08 -112.25 0.09 23.37 0.1 "" "" "" "" "" 2.38053795747 12.642 834676801774133120 3336 252474638 154.8223 48.3741 154.821658333 48.3735944444
J0106-1417 (M4) ABDMG 1 6 25.51 - 14 17 28.82 101.82 0.11 -98.76 0.08 22.02 0.05 8.0 0.6 "" "" 5 2.08886486924 12.441 2371914415275365376 3220 66534227 16.6059 -14.2909 16.6062916667 -14.2913388889
J1057+4142 (M3) ABDMG 10 57 14.628 + 41 42 52.93 -103.51 0.07 -116.11 0.08 23.55 0.07 -13.0 5.0 "" "" 5 2.60901899577 10.818 778323802899562496 3628 361978999 164.3115 41.7153 164.31095 41.7147027778
J1111-5316 (M6) ABDMG 11 11 57.142 - 53 16 56.8 -92.44 0.15 -37.71 0.16 21.12 0.11 "" "" "" "" "" 1.62103962194 14.523 None 3303 81782596 167.988761 -53.282238 167.988091667 -53.2824444444
J1116-8027 (M5) ABDMG 11 16 56.426 - 80 27 51.67 -140.15 0.1 34.11 0.1 35.4 0.05 "" "" ABDMG(88);CAR(7) "" "" 2.26451606862 11.658 5198221527057390464 3030 395130640 169.2388 -80.4645 169.235108333 -80.4643527778
J1121-6534 (M5) ABDMG 11 21 8.594 - 65 34 10.49 -78.5 1.1 -13.35 0.95 18.3 0.67 "" "" ABDMG(89);BPMG(11) "" "" 8.36733889801 16.806 5237089984656092800 4307 468162152 170.291416 -65.569733 170.285808333 -65.5695805556
J1121-7427 (M5) ABDMG 11 21 59.825 - 74 27 48.45 -65.61 0.1 -4.0 0.09 15.82 0.05 "" "" "" "" "" 1.07599761188 12.755 5225917022369596288 3977 454469713 170.500338 -74.463371 170.499270833 -74.4634583333
J1134-7330 (M4) ABDMG 11 34 54.787 - 73 30 34.84 -176.39 0.09 -18.97 0.07 34.86 0.05 "" "" "" "" "" 2.89610495615 11.212 5226826632021083392 3384 454638159 173.7311 -73.5096 173.728279167 -73.5096777778
J1147-3017 G6V ABDMG 11 47 15.49 - 30 17 14.97 -266.12 0.04 -228.01 0.03 56.37 0.03 14.0 0.1 "" 6 4 5.53270669922 5.663 3480332911869120256 5563.6 157324520 176.815941 -30.286542 176.814541667 -30.2874916667
J1212-5214 (M6) ABDMG 12 12 1.15 - 52 14 30.21 -112.79 0.13 -94.59 0.1 27.82 0.1 "" "" "" "" "" 5.40285736231 17.326 6125355707559824512 4028 334217985 183.004485 -52.243214 183.004791667 -52.241725
J1232-6856 M8 ABDMG 12 32 17.126 - 68 56 2.25 -216.04 0.21 -100.04 0.16 47.42 0.12 "" "" "" 7 "" 3.61751184649 14.495 None None 326160197 188.073839 -68.933495 188.071358333 -68.9339583333
J0122+5452 (M5) ABDMG 1 22 43.945 + 54 52 53.39 92.41 0.14 -83.7 0.11 20.27 0.08 "" "" "" "" "" 2.05648753614 13.268 410852860690322176 3141 370065236 20.6824 54.8819 20.6831041667 54.8814972222
J0122-2556 (M6) ABDMG 1 22 51.607 - 25 56 19.14 127.66 0.18 -110.03 0.12 28.77 0.09 "" "" "" "" "" 2.60251693572 13.692 5039724490666564352 3457 11614280 20.7144 -25.9382 20.7150291667 -25.93865
J1334-6314 (M5) ABDMG 13 34 17.237 - 63 14 26.96 -99.27 0.06 -80.76 0.07 23.13 0.05 "" "" "" "" "" 2.02419621859 13.076 5865076566258734080 2996 316577292 203.572776 -63.24046 203.571820833 -63.2408222222
J1336-8002 (M9) ABDMG 13 36 53.496 - 80 2 6.55 -81.42 0.7 -38.72 0.45 19.55 0.33 "" "" "" "" "" 1.39346292452 17.392 5783738067581451264 None 418461487 204.224965 -80.035004 204.2229 -80.0351527778
J1344-6134 (M6) ABDMG 13 44 48.024 - 61 34 24.1 -89.55 0.12 -90.06 0.14 20.31 0.11 "" "" "" "" "" 8.09584478843 16.333 5865818427369003776 4558 322448203 206.196093 -61.57217 206.2001 -61.5733611111
J0127-5717 (M3) ABDMG 1 27 12.309 - 57 17 37.17 95.97 0.05 -36.43 0.04 21.82 0.03 20.0 1.0 "" "" 4 1.63446024287 10.965 4909829041659322752 3732 206603521 21.8005 -57.2935 21.8012875 -57.2936583333
J1415-7743 (M4) ABDMG 14 15 41.498 - 77 43 6.56 -66.18 0.07 -61.65 0.07 17.28 0.04 "" "" "" "" "" 1.48442776339 12.673 5786595006813783552 3293 396539808 213.924203 -77.718182 213.922908333 -77.7184888889
J1415-7742 (M4) ABDMG 14 15 42.072 - 77 42 46.73 -66.01 0.06 -63.29 0.06 17.14 0.04 "" "" "" "" "" 1.47000329901 12.722 5786595006813796992 3251 396539814 213.926609 -77.712682 213.9253 -77.7129805556
J1432-0314 (M8) ABDMG 14 32 36.564 - 3 14 10.99 -154.14 0.26 -225.45 0.2 44.6 0.13 "" "" "" "" "" 4.24978273707 14.536 None 2833 181958884 218.153 -3.2354 218.15235 -3.23638611111
J0128+3318 (M8) ABDMG 1 28 39.294 + 33 18 8.01 77.35 0.54 -99.45 0.49 18.94 0.3 "" "" "" "" "" 2.12156096211 15.826 None None 44630842 22.163321 33.302708 22.163725 33.302225
J1441-4357 (M5) ABDMG 14 41 7.109 - 43 57 1.4 -131.5 0.4 -201.81 0.26 33.62 0.18 "" "" "" "" "" 3.3412784358 11.346 6098960011086246784 3215 128981638 220.2803 -43.9496 220.279620833 -43.9503888889
J1441-4357 (M5) ABDMG 14 41 7.502 - 43 57 1.67 -120.85 0.26 -190.4 0.18 34.71 0.15 "" "" "" "" "" 3.35522793296 12.511 None 3474 128981637 220.282 -43.9497 220.281258333 -43.9504638889
J1452-2816 (M5) ABDMG 14 52 11.102 - 28 16 43.89 -71.94 0.1 -121.46 0.09 21.4 0.06 "" "" "" "" "" 2.28329438465 12.626 6219168410464941056 3296 134947 223.0466 -28.2783 223.046258333 -28.2788583333
J1455-8131 (M6) ABDMG 14 55 16.253 - 81 31 26.5 -91.38 0.19 -69.64 0.21 23.82 0.13 "" "" "" "" "" 1.83406403506 14.337 None None 406776177 223.820395 -81.523705 223.817720833 -81.5240277778
J1459-4210 (M5) ABDMG 14 59 57.293 - 42 10 11.49 -107.5 0.15 -188.46 0.12 32.82 0.08 "" "" "" "" "" 3.45487021955 12.456 5908714228552025856 3166 334234040 224.9893 -42.169 224.988720833 -42.1698583333
J1516-0037 (M5) ABDMG 15 16 55.651 - 0 37 14.65 -116.74 0.15 -191.97 0.17 37.72 0.1 "" "" "" "" "" 3.36972639427 11.6 None 3239 38946496 229.2323 -0.6199 229.231879167 -0.620736111111
J1518-4509 (M5) ABDMG 15 18 46.872 - 45 9 52.61 -55.87 0.14 -104.53 0.12 18.51 0.08 "" "" "" "" "" 7.93576110391 13.956 6000149370702867072 4080 144337546 229.695516 -45.166813 229.6953 -45.1646138889
J1529+4646 M4.5V ABDMG 15 29 2.774 + 46 46 23.53 -118.71 0.94 -32.6 1.3 45.62 0.56 "" "" "" 8 "" 1.86184263619 11.752 1395760948387519104 3128 116415883 232.2623 46.7733 232.261558333 46.7732027778
J1532-7021 (M4) ABDMG 15 32 15.881 - 70 21 4.39 -50.78 0.05 -88.57 0.07 19.28 0.04 "" "" "" "" "" 1.61854366153 12.271 5795848256159197952 3316 446952463 233.066807 -70.350824 233.066170833 -70.3512194444
J1557+2748 (M5) ABDMG 15 57 8.472 + 27 48 59.5 -66.73 0.06 -76.52 0.07 27.22 0.04 "" "" "" "" "" 1.84869104569 12.147 1319595888146796160 3263 258147095 239.2857 27.8169 239.2853 27.8165277778
J0138-3452 (L0) ABDMG 1 38 47.534 - 34 52 32.75 75.42 0.8 -52.39 0.65 18.76 0.74 "" "" "" "" "" 1.5441522513 18.265 5012037963245171968 None 32306719 24.697658 -34.875488 24.6980583333 -34.8757638889
J0139+7342 K5V ABDMG 1 39 46.332 + 73 42 30.61 159.98 0.22 -111.11 0.21 37.13 0.13 -23.0 2.0 "" 9 4 3.20911089127 8.533 None 4401 289351402 24.940403 73.708996 24.94305 73.7085027778
J0139+2611 (M4) ABDMG 1 39 58.869 + 26 11 0.8 138.98 0.26 -146.21 0.12 31.02 0.08 -10.0 10.0 "" "" 5 3.21175000261 11.125 292521529517547776 3311 26763552 24.9946 26.1842 24.9952875 26.1835555556
J1606-7200 (M4) ABDMG 16 6 7.018 - 72 0 47.62 -43.69 0.04 -80.9 0.05 17.04 0.03 "" "" "" "" "" 1.45572531446 12.265 5806679235972830080 3312 426285456 241.529858 -72.012871 241.529241667 -72.0132277778
J1609-3431 (M6) ABDMG 16 9 46.08 - 34 31 10.4 -86.17 0.23 -225.49 0.13 36.35 0.12 "" "" "" "" "" 3.63886125337 13.568 None 2900 94933725 242.4424 -34.5186 242.442 -34.5195555556
J1631+3243 (M7) ABDMG 16 31 2.105 + 32 43 24.61 -48.23 0.13 -53.94 0.15 25.66 0.08 "" "" "" "" "" 1.35289052668 14.962 1324992875331860480 None 8580288 247.759075 32.723778 247.758770833 32.7235027778
J1636-4041 (M4) ABDMG 16 36 57.473 - 40 41 13.3 -72.86 0.14 -283.07 0.09 44.72 0.07 "" "" "" "" "" 4.57262992565 10.752 None 3361 83126270 249.2399 -40.6858 249.239470833 -40.6870277778
J1637-7348 (M6) ABDMG 16 37 52.81 - 73 48 32.61 -30.74 0.13 -89.92 0.2 17.94 0.1 "" "" "" "" "" 1.44636441999 15.315 None None 309898261 249.470506 -73.808678 249.470041667 -73.8090583333
J1638-4232 (M5) ABDMG 16 38 7.963 - 42 32 14.99 -37.25 0.17 -158.88 0.11 25.13 0.1 "" "" "" "" "" 2.57744962235 13.71 None 3242 230795292 249.5334 -42.5368 249.533179167 -42.5374972222
J0144+5332 (M5) ABDMG 1 44 25.883 + 53 32 55.47 133.09 0.1 -139.38 0.1 30.99 0.06 "" "" "" "" "" 3.11601296011 12.601 408088757177055488 3080 410507076 26.1069 53.5494 26.1078458333 53.5487416667
J0145+7118 (M6) ABDMG 1 45 58.46 + 71 18 25.07 74.06 0.16 -67.79 0.17 17.98 0.12 "" "" "" "" "" 1.65870720436 15.275 None 2883 402747258 26.4926 71.3073 26.4935833333 71.3069638889
J1729-5547 (M7) ABDMG 17 29 44.676 - 55 47 57.6 -26.09 0.18 -161.79 0.19 26.41 0.13 "" "" "" "" "" 2.43234555894 18.035 5919792529759135232 None 360329359 262.436314 -55.798664 262.43615 -55.7993333333
J1738+6114 M4 ABDMG 17 38 40.87 + 61 14 0.02 -16.88 0.08 46.84 0.09 30.96 0.04 "" "" "" 10 "" 0.616662824515 15.398 1436001562137936384 3282 219790149 264.6705 61.2332 264.670291667 61.2333388889
J1739-5321 (M9) ABDMG 17 39 57.967 - 53 21 43.74 -4.6 0.81 -141.36 0.97 20.66 0.68 "" "" "" "" "" 2.28614942612 16.79 None None 96542126 264.991517 -53.361515 264.991529167 -53.36215
J1747-5221 (M4) ABDMG 17 47 3.53 - 52 21 23.59 -10.19 0.09 -119.48 0.08 19.22 0.06 "" "" "" "" "" 8.3247565641 17.42 5945166024014868480 3506 363404037 266.76795 -52.355358 266.764708333 -52.3565527778
J1755-2301 (M7) ABDMG 17 55 6.775 - 23 1 7.48 -11.93 0.41 -158.86 0.36 24.93 0.27 "" "" "" "" "" 2.88509281814 14.431 None None 223604758 268.778272 -23.017944 268.778229167 -23.0187444444
J0148-4831 (M5) ABDMG 1 48 47.9 - 48 31 16.38 110.54 0.06 -53.67 0.06 25.62 0.04 21.5 0.2 "" "" "" 1.92526287353 12.181 4941694915857516800 3072 229147922 27.198838 -48.521011 27.1995833333 -48.5212166667
J1815+0237 (M5) ABDMG 18 15 49.99 + 2 37 22.85 8.96 0.13 -140.4 0.14 28.22 0.08 "" "" "" "" "" 2.11021281262 13.459 None 3200 350309715 273.9583 2.6236 273.958291667 2.62301388889
J1816-5534 (M5) ABDMG 18 16 12.379 - 55 34 57.21 -3.63 0.07 -113.95 0.07 18.75 0.05 "" "" "" "" "" 9.03604774831 12.195 6652398050759166592 5243 118802400 274.050165 -55.580179 274.051579167 -55.5825583333
J1825-6237 (M5) ABDMG 18 25 22.056 - 62 37 50.06 -3.74 0.11 -100.16 0.13 16.72 0.12 "" "" "" "" "" 1.52357196186 14.429 6631046771905820544 None 365997088 276.341963 -62.63015 276.3419 -62.6305722222
J1829-7726 (M7) ABDMG 18 29 29.887 - 77 26 44.05 -5.54 0.2 -95.43 0.24 18.08 0.13 "" "" "" "" "" 1.64868171595 16.276 None None 343995839 277.37475 -77.445114 277.374529167 -77.4455694444
J0153+1917 A2IV ABDMG 1 53 31.897 + 19 17 36.37 78.11 0.72 -97.5 0.62 19.98 0.35 -1.0 2.0 "" 11 1 1.96153154812 6.886 None None 91329512 28.382588 19.293892 28.3829041667 19.2934361111
J0153+1917 A0V ABDMG 1 53 31.904 + 19 17 43.77 77.85 0.91 -106.97 0.73 18.88 0.42 4.0 2.0 "" 13 1 2.04531476875 6.911 None None 91329517 28.382602 19.295966 28.3829333333 19.2954916667
J1840-0959 (L1) ABDMG 18 40 59.386 - 9 59 17.47 23.9 0.98 -245.19 0.89 40.57 0.55 "" "" "" "" "" 5.26392799062 15.978 4155202360039230080 4225 203428362 280.245974 -9.988407 280.247441667 -9.98818611111
J1911-4739 (M5) ABDMG 19 11 4.147 - 47 39 17.43 49.04 0.49 -201.17 0.5 30.96 0.28 "" "" "" "" "" 3.10470394764 11.877 None 3129 61383924 287.767 -47.654 287.767279167 -47.6548416667
