# %ECSV 0.9
# ---
# datatype:
# - {name: Set, datatype: string, description: Subset (1)}
# - {name: Name, datatype: string, description: Star Name}
# - {name: Assoc, datatype: string, description: Association short name (2)}
# - {name: SpT, datatype: string, description: Spectral Type (3)}
# - {name: RAh, unit: h, datatype: int64, description: Hour of Right Ascension (J2000)}
# - {name: RAm, unit: min, datatype: int64, description: Minute of Right Ascension (J2000)}
# - {name: RAs, unit: s, datatype: float64, description: Second of Right Ascension (J2000)}
# - {name: DE-, datatype: string, description: Sign of Declination (J2000)}
# - {name: DEd, unit: deg, datatype: int64, description: Degree of Declination (J2000)}
# - {name: DEm, unit: arcmin, datatype: int64, description: Arcminute of Declination (J2000)}
# - {name: DEs, unit: arcsec, datatype: float64, description: Arcsecond of Declination (J2000)}
# - {name: pmRA, unit: mas / yr, datatype: float64, description: 'Proper motion in RA; {mu}_{alpha}\cos{delta}'}
# - {name: e_pmRA, unit: mas / yr, datatype: float64, description: Uncertainty in pmRA}
# - {name: pmDE, unit: mas / yr, datatype: float64, description: 'Proper motion in DE; {mu}_{delta}'}
# - {name: e_pmDE, unit: mas / yr, datatype: float64, description: Uncertainty in pmDE}
# - {name: Dist, unit: pc, datatype: float64, description: Distance}
# - {name: e_Dist, unit: pc, datatype: float64, description: Uncertainty in Dist}
# - {name: RVel, unit: km / s, datatype: float64, description: Radial Velocity}
# - {name: e_RVel, unit: km / s, datatype: float64, description: Uncertainty in RVel}
# - {name: HR1, datatype: float64, description: HR1 hardness ratio}
# - {name: NUVmag, unit: mag, datatype: float64, description: NUVMag}
# - {name: e_NUVmag, unit: mag, datatype: float64, description: Uncertainty in NUVmag}
# - {name: Gmag, unit: mag, datatype: float64, description: Gaia DR1 G-band magnitude}
# - {name: e_Gmag, unit: mag, datatype: float64, description: Uncertainty in Gmag}
# - {name: Jmag, unit: mag, datatype: float64, description: 2MASS J-band magnitude}
# - {name: e_Jmag, unit: mag, datatype: float64, description: Uncertainty in Jmag}
# - {name: IRex, datatype: float64, description: 'IR Excess in N{sigma}'}
# - {name: Known, datatype: string, description: Known Group}
# - {name: Youth, datatype: string, description: Signs of Youth (4)}
# - {name: Ref, datatype: string, description: References (5)}
# - {name: Bin, datatype: string, description: Binary flag (6)}
# - {name: dstArcSec, datatype: float64}
# - {name: Tmag, datatype: float64}
# - {name: GAIA, datatype: object}
# - {name: Teff, datatype: object}
# - {name: MatchID, datatype: int64}
# - {name: MatchRA, datatype: float64}
# - {name: MatchDEC, datatype: float64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# schema: astropy-2.0
Set Name Assoc SpT RAh RAm RAs DE- DEd DEm DEs pmRA e_pmRA pmDE e_pmDE Dist e_Dist RVel e_RVel HR1 NUVmag e_NUVmag Gmag e_Gmag Jmag e_Jmag IRex Known Youth Ref Bin dstArcSec Tmag GAIA Teff MatchID MatchRA MatchDEC ra dec
NBFM "CD-26 1643" ABDMG F9V 4 21 33.518 - 25 43 10.14 42.74 0.31 -55.46 0.33 54.84 0.85 23.0 2.0 -0.15 13.099 0.004 8.095 0.002 7.19 0.02 0.0 "" X 1;2;-;- "" 1.10140434734 7.712 4895666094942981504 6253 152371327 65.389508 -25.719209 65.3896583333 -25.7194833333
NBFM "HD 61518" ABDMG F5V 7 37 2.743 - 52 21 56.94 -31.93 0.05 6.13 0.06 60.95 0.84 31.0 1.0 -0.23 "" "" 7.736 0.001 6.97 0.02 2.7 "" E 3;4;-;- "" 0.431109191898 7.411 5492410569037161984 6385.91 267537284 114.261618 -52.365849 114.261429167 -52.3658166667
NBFM "HD 147512" ABDMG G8/K0V 16 22 32.642 - 4 14 59.94 -78.92 0.05 -176.73 0.03 27.03 0.24 -19.9 0.7 "" 13.358 0.004 7.107 0.0 6.06 0.01 1.5 "" E 5;5;5;- "" 2.93159960346 6.662 4356054753290376832 5521.11 71960105 245.636335 -4.249237 245.636008333 -4.24998333333
NBFM "HD 221239" ABDMG K2.5V 23 30 13.963 + 31 42 19.02 191.28 0.06 -130.31 0.05 25.11 0.16 -18.0 4.0 -1.0 15.41 0.01 7.998 0.0 6.66 0.02 0.0 "" UV 6;4;-;- "" 3.52795782809 7.42888 2870739338734931456 4969.48 432227128 352.55722 31.705826 352.558179167 31.7052833333
NBFM "HD 207043" BPMG G5V 21 47 55.459 - 52 55 51.63 103.31 0.05 -88.75 0.04 33.25 0.29 0.129 0.006 "" 13.326 0.004 7.378 0.0 6.41 0.01 3.8 "" E 8;7;-;- "" 2.12208546844 6.969 6462296476046776448 5746.1 139898417 326.980342 -52.930621 326.981079167 -52.9310083333
NBFM "HD 37402" CAR F6V 5 34 26.199 - 60 6 14.59 25.76 0.04 32.2 0.05 68.2 3.0 23.7 0.5 -0.17 12.987 0.005 8.224 0.001 7.41 0.01 3.0 "" Li;E 9;4;10;- "" 0.664279973734 7.88 4759444781879266432 6188.14 149347480 83.608942 -60.104201 83.6091625 -60.1040527778
NBFM "S1^*^ 329" CARN K7V(ke) 8 41 32.326 - 68 25 37.77 -113.29 0.09 164.47 0.09 30.45 0.49 10.0 2.0 0.47 18.77 0.08 10.289 0.002 8.23 0.02 1.4 "" X;UV 11;12;13;- "" 2.8870597484 9.416 5271611179432610176 3869 308183430 130.386 -68.4278 130.384691667 -68.4271583333
NBFM "L 106-104" CARN M3 22 46 45.574 - 63 18 6.0 198.01 0.14 -113.86 0.14 26.0 0.23 -4.0 4.0 "" "" "" 10.455 0.001 8.29 0.01 2.2 "" E;Ca 14;7;-;- "" 3.11796872034 9.54 6394330645812706944 3745 409858786 341.688 -63.3015 341.689891667 -63.3016666667
NBFM "HD 29329" COL F7V 4 46 0.903 + 76 36 37.73 75.59 0.02 -135.35 0.03 32.75 0.34 -9.8 0.8 -0.01 "" "" 6.321 0.001 5.53 0.03 2.6 "" X;E -;7;-;- "" 2.37763330593 5.989 551998714532433920 6349.26 140638831 71.502386 76.611059 71.5037625 76.6104805556
NBFM "AI Lep" COL G2V 5 40 20.752 - 19 40 11.11 20.02 0.49 -12.05 0.6 72.4 1.6 24.8 0.5 0.0 "" "" 8.891 0.003 7.84 0.02 1.4 "" X;Li;Is 11;7;-;- "" 0.333848681325 8.442 2967055973212609280 5949 93126844 85.086407 -19.669679 85.0864666667 -19.6697527778
