# %ECSV 0.9
# ---
# datatype:
# - {name: Assoc, datatype: string, description: Association short name (1)}
# - {name: Main, datatype: string, description: Main designation}
# - {name: SpT, datatype: string, description: Spectral Type}
# - {name: RAh, unit: h, datatype: int64, description: Hour of Right Ascension (J2000)}
# - {name: RAm, unit: min, datatype: int64, description: Minute of Right Ascension (J2000)}
# - {name: RAs, unit: s, datatype: float64, description: Second of Right Ascension (J2000)}
# - {name: DE-, datatype: string, description: Sign of the Declination (J2000)}
# - {name: DEd, unit: deg, datatype: int64, description: Degree of Declination (J2000)}
# - {name: DEm, unit: arcmin, datatype: int64, description: Arcminute of Declination (J2000)}
# - {name: DEs, unit: arcsec, datatype: float64, description: Arcsecond of Declination (J2000)}
# - {name: pmRA, unit: mas / yr, datatype: float64, description: 'Proper motion in RA, pm*cos(dec)'}
# - {name: e_pmRA, unit: mas / yr, datatype: float64, description: Uncertainty on pmRA}
# - {name: pmDE, unit: mas / yr, datatype: float64, description: Proper motion in DE}
# - {name: e_pmDE, unit: mas / yr, datatype: float64, description: Uncertainty on pmDE}
# - {name: RVel, unit: km / s, datatype: float64, description: Radial velocity}
# - {name: e_RVel, unit: km / s, datatype: float64, description: Uncertainty on RVel}
# - {name: Dist, unit: pc, datatype: float64, description: Trigonometric distance}
# - {name: e_Dist, unit: pc, datatype: float64, description: Uncertainty on Dist}
# - {name: Comp, datatype: string, description: Companion Flag (2)}
# - {name: r_SpT, datatype: string, description: 'Reference for spectral type, SpT (3)'}
# - {name: r_pmX, datatype: string, description: 'Reference for proper motion, pmRA/DE (3)'}
# - {name: r_RVel, datatype: string, description: 'Reference for radial velocity, RVel (3)'}
# - {name: r_Dist, datatype: string, description: 'Reference for trigonometric distance, Dist (3)'}
# - {name: dstArcSec, datatype: float64}
# - {name: Tmag, datatype: float64}
# - {name: GAIA, datatype: object}
# - {name: Teff, datatype: object}
# - {name: MatchID, datatype: int64}
# - {name: MatchRA, datatype: float64}
# - {name: MatchDEC, datatype: float64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# schema: astropy-2.0
Assoc Main SpT RAh RAm RAs DE- DEd DEm DEs pmRA e_pmRA pmDE e_pmDE RVel e_RVel Dist e_Dist Comp r_SpT r_pmX r_RVel r_Dist dstArcSec Tmag GAIA Teff MatchID MatchRA MatchDEC ra dec
ABDMG "2MASS J00192626+4614078" M8{beta} 0 19 26.26 "" 46 14 7.8 119.4 0.9 -75.4 0.9 -20.0 3.0 39.0 2.0 "" 1 2 3 2 0.134044955984 14.353 None None 440114956 4.859459 46.235477 4.85941666667 46.2355
ABDMG "BD+54 144 A" F8V 0 45 51.06 "" 54 58 39.1 96.4 0.03 -73.97 0.04 -15.0 2.0 50.3 0.9 "" 4 5 6 5 1.93223046163 6.875 417565757132068096 6161 445188441 11.462006 54.977853 11.46275 54.9775277778
ABDMG "BD+54 144 B" K3 0 45 51.23 "" 54 58 40.8 "" "" "" "" "" "" "" "" [COMPANION] 7 - - - 3.04684653109 6.875 417565757132068096 6161 445188441 11.462006 54.977853 11.4634583333 54.978
ABDMG "2MASS J00470038+6803543" L6-L8{gamma} 0 47 0.39 "" 68 3 54.4 385.0 1.0 -201.0 1.0 -20.0 1.0 12.2 0.3 "" - 2 8 2 0.0378192830568 17.354 None None 368451406 11.751611 68.065102 11.751625 68.0651111111
ABDMG "G 132-51 B" M2.6 1 3 42.23 "" 40 51 13.6 132.0 5.0 -164.0 5.0 -10.6 0.3 30.0 2.0 "" 9 9 9 9 1.33365292128 10.607 None 3448 259103848 15.9262 40.8541 15.9259583333 40.8537777778
ABDMG "G 132-50" M0 1 3 40.3 "" 40 51 26.7 126.9 0.1 -166.18 0.09 "" "" 33.0 0.6 [COMPANION] 10 5 - 5 3.01827411854 9.21827 374400957846408192 3942.04 259103852 15.917209 40.858062 15.9179166667 40.8574166667
ABDMG "G 132-51 C" M3.8 1 3 42.44 "" 40 51 13.3 "" "" "" "" -10.9 0.4 "" "" [COMPANION] 9 - 9 - 2.25957092079 10.607 None 3448 259103848 15.9262 40.8541 15.9268333333 40.8536944444
ABDMG "HIP 6276" G0V 1 20 32.38 - 11 28 5.8 111.44 0.06 -136.95 0.05 8.3 0.4 35.1 0.4 "" 11 5 12 5 2.615322802 7.686 2470272808484339200 5314 10802452 20.134462 -11.467704 20.1349166667 -11.4682777778
ABDMG "G 269-153 A" M4.3 1 24 27.85 - 33 55 11.4 180.0 20.0 -110.0 20.0 19.0 3.0 25.0 1.0 "" 9 13 9 9 3.26252498747 10.668 None 3259 140478471 21.1154 -33.9191 21.1160416667 -33.9198333333
ABDMG "G 269-153 B" M4.6 1 24 27.96 - 33 55 9.9 "" "" "" "" 18.0 1.0 "" "" [COMPANION] 9 - 9 - 3.47823132961 10.668 None 3259 140478471 21.1154 -33.9191 21.1165 -33.9194166667
ABDMG "G 269-153 C" M5.0 1 24 30.83 - 33 55 3.7 160.0 20.0 -110.0 20.0 18.3 0.5 "" "" [COMPANION] 9 9 9 - 3.33987967072 12.343 None 3078 140478472 21.1276 -33.9171 21.1284583333 -33.9176944444
ABDMG "HS Psc" K5Ve 1 37 23.37 "" 26 57 10.2 118.0 1.0 -128.0 0.4 -6.0 3.0 37.6 0.5 "" 14 5 15 5 2.57445861275 9.44 295713102534550272 4190 353804063 24.346782 26.953315 24.347375 26.9528333333
ABDMG "BD+37 604 Aab" G5V 2 42 21.41 "" 38 37 5.6 79.0 2.0 -108.0 2.0 -4.2 0.2 46.0 5.0 "" 11 16 6 16 2.08364207902 8.046 334156701966277504 5593 433140046 40.588781 38.618695 40.5892083333 38.6182222222
ABDMG "BD+37 604 B" K3.5V 2 42 21.06 "" 38 37 19.5 83.1 0.1 -107.41 0.08 -4.1 0.3 50.1 0.9 [COMPANION] 11 5 17 5 2.21124440217 9.22354 334156701966277376 4835 433143783 40.587272 38.622571 40.58775 38.6220833333
ABDMG "HD 17332 A" G0 2 47 27.55 "" 19 22 16.2 117.53 0.06 -158.88 0.06 4.3 0.2 33.5 0.3 "" 7 5 18 5 3.43260866011 6.582 None 5926 247405885 41.864168 19.371917 41.8647916667 19.3711666667
ABDMG "HD 17332 B" G5 2 47 27.34 "" 19 22 18.4 "" "" "" "" "" "" "" "" [COMPANION] 7 - - - 0.989844661491 6.582 None 5926 247405885 41.864168 19.371917 41.8639166667 19.3717777778
ABDMG "41 Ari AB" B8Vn 2 49 59.03 "" 27 15 37.8 66.8 0.2 -116.5 0.2 4.0 4.0 50.8 0.5 "" 19 16 20 16 0.0873393087928 3.581 None 11885 436872005 42.495972 27.260521 42.4959583333 27.2605
