#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#St, _2MASS, Rmag, Kmag, pmRA, pmDE, SpT1, mbol, DMph, DMkin, RV, vsini, SpT, EWHa, EWLi, Mm, u_Mm, n_Mm, f_Mm, Opt, Denis, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, float, float, float, string, float, float, float, float, float, string, float, float, string, string, string, string, float, float, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
St,_2MASS,Rmag,Kmag,pmRA,pmDE,SpT1,mbol,DMph,DMkin,RV,vsini,SpT,EWHa,EWLi,Mm,u_Mm,n_Mm,f_Mm,Opt,Denis,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA_,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag_,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag_,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'C',b'02372562-4912033',11.6999998092651,8.61999988555908,63.7999992370605,-19.2000007629395,b'M0.0',11.0600004196167,3.46000003814697,4,-0.600000023841858,4.80000019073486,b'M0.3',0.540000021457672,-7.90000009536743,b'N',b'',b'H{alpha}',b'',2,1,39.35675,-49.20092,39.35675,-49.20092,166809501,39.356751,-49.20092,NaN,NaN,10.819,STAR,2mass,0.00235227042519039,20180610,,,204-002440,02372562-4912033,,J023725.68-491203.5,,22163415,,2mass,NaN,NaN,,NaN,NaN,,267.324363,-59.953802,8.892222,-59.244886,13.853,0.014,12.48,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.501,0.025,8.823,0.025,8.624,0.022,AAA-222-111-000-0-0,34.8,8.528,0.023,8.541,0.019,8.433,0.022,8.112,0.19,NaN,NaN,0.037,vjk,,3775,168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0260589,NaN,0,NaN,,,NaN
b'C',b'23585674-8339423',11,8.25,67.1999969482422,-37.9000015258789,b'K7.5',10.5799999237061,3.32999992370605,3.79999995231628,11.1000003814697,4.19999980926514,b'K5.8',-0.280000001192093,10.6000003814697,b'Y',b'',b'RV',b'',1,6,359.73642,-83.66175,359.73642,-83.66175,325525541,359.736419,-83.661752,80.3466,-28.1013,10.322,STAR,2mass,0.00721096059762215,20180610,,,032-013787,23585674-8339423,,J235857.03-833942.9,6350112961066968192,35300971,,tmgaia,4.30794,4.30794,hsoy,NaN,NaN,,304.650236,-33.290443,285.584426,-65.73743,13.293,0.017,11.914,0.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.121,0.023,8.47,0.047,8.246,0.02,AAA-111-111-000-0-0,7.6,8.213,0.023,8.217,0.02,8.081,0.018,7.75,0.11,11.1888,0.000345996,0.018,gaiaj,,3840,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.16092,NaN,0,NaN,,,NaN
b'C',b'23382851-6749025',14.6000003814697,10.0500001907349,68.5,-56.4000015258789,b'M3.9',12.7299995422363,2.89000010490417,3.59999990463257,6.80000019073486,24.1000003814697,b'M4.0',-5.75,-14.3000001907349,b'Y',b'',b'RV',b'',2,1,354.61879,-67.81736,354.61879,-67.81736,410213494,354.618791,-67.817362,70.2508,-60.7813,12.631,STAR,2mass,0.00732717346568649,20180610,,,111-129004,23382851-6749025,,J233828.64-674903.1,6388735334217937280,33072706,,tmgaia,3.03063,3.03063,hsoy,NaN,NaN,,313.074634,-47.848509,313.161932,-56.666901,17.07,-0.086,15.873,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.909,0.027,10.295,0.024,10.047,0.021,AAA-222-111-000-0-0,25.1,9.883,0.023,9.679,0.02,9.555,0.034,8.862,0.43,13.8123,0.000824104,0.018,gaiaj,,3079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0283464,NaN,21,0.1953134,,,NaN
b'C',b'21490499-6413039',14.1999998092651,9.47000026702881,47.7999992370605,-96.5,b'M4.6',12.2600002288818,1.67999994754791,3.29999995231628,0.400000005960464,47.7000007629395,b'M4.4',-7.21999979019165,-35.2000007629395,b'Y',b'',b'RV',b'',3,1,327.27079,-64.21775,327.27079,-64.21775,238813187,327.270796,-64.217751,NaN,NaN,12.154,STAR,2mass,0.0100610833915209,20180610,,,129-172698,21490499-6413039,,J214905.05-641304.9,6402514757533949440,31753288,,tmgaia,NaN,NaN,,NaN,NaN,,328.054382,-42.960036,302.518258,-47.105366,16.924,0.127,15.727,0.012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.353,0.024,9.795,0.022,9.474,0.021,AAA-222-111-000-0-0,26.8,9.287,0.023,9.079,0.021,8.892,0.031,8.338,0.347,13.3788,0.000665973,0.017,gaiaj,,2954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0381603,NaN,31,0.003429946,,,NaN
b'C',b'00555140-4938216',15.1999998092651,10.4899997711182,101,-56.0999984741211,b'M4.8',13.289999961853,2.5,3.09999990463257,18.2000007629395,14.8999996185303,b'M3.9',-5.88000011444092,-23.6000003814697,b'N',b'?',b'RV',b'',2,2,13.96417,-49.63933,13.96417,-49.63933,322052999,13.964174,-49.639328,98.8834,-56.7112,13.067,STAR,2mass,0.0117814697421328,20180610,,,202-000845,00555140-4938216,,J005551.51-493822.1,4931809962725993472,22126857,,tmgaia,3.12841,3.12841,hsoy,NaN,NaN,,301.064417,-67.472896,345.740422,-49.576141,17.463,0.208,16.133,0.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.355,0.023,10.792,0.023,10.492,0.022,AAA-222-111-000-0-0,89.8,10.363,0.023,10.169,0.02,10.021,0.054,8.726,NaN,14.2429,0.00102438,0.017,gaiaj,,3108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0125217,NaN,14,6.651342E-07,,,NaN
b'C',b'20175858-5712583',10.3999996185303,8.56999969482422,12.6999998092651,-61.9000015258789,b'K3.1',10.5600004196167,4.21999979019165,4.40000009536743,-7.09999990463257,4.09999990463257,b'K2.7',0.949999988079071,-4.5,b'N',b'',b'Li',b'',2,1,304.49408,-57.21619,304.49408,-57.21619,360874406,304.494085,-57.216192,10.9995,-63.8933,9.999,STAR,2mass,0.0121174961359887,20180610,,8785-00852-1,164-203650,20175858-5712583,,J201758.58-571258.8,6468641070455475968,29623064,,tmgaia,0.506719,0.808964,tgas,3.2167,0.238828,tgas,340.379092,-34.126728,292.403099,-36.429163,11.94,0.125,11.004,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.185,0.032,8.722,0.063,8.567,0.029,AAA-111-111-000-0-0,9.4,8.501,0.023,8.595,0.02,8.516,0.023,8.368,0.279,10.6002,0.000345996,0.02,gaiaj,tplx,4825,178,3.29922,0.403042,NaN,NaN,3.2828,0.632614,0.782125,0.0922149,0.0221077,0.0127808,DWARF,5.262267,2.028136,310.8776,37.0591,0.0478226,NaN,43,0.013815,,,0.0003829091
b'C',b'23541799-8254492',14,10,73.9000015258789,-35.5,b'M3.3',12.6400003433228,3.29999995231628,3.59999990463257,7.80000019073486,4.19999980926514,b'M2.5',0.310000002384186,-14.1000003814697,b'N',b'',b'H{alpha}',b'',2,4,358.57496,-82.91367,358.57496,-82.91367,410256098,358.574949,-82.913666,75.5442,-33.7468,12.383,STAR,2mass,0.0152061043420614,20180610,,,036-015639,23541799-8254492,,J235418.40-825449.5,6350256000658228736,35126280,,tmgaia,3.50704,3.50702,hsoy,NaN,NaN,,305.035546,-33.979714,287.234617,-65.40238,16.343,NaN,15.07,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.846,0.022,10.255,0.023,9.999,0.023,AAA-222-111-000-0-0,25.2,9.862,0.023,9.741,0.02,9.642,0.035,9.42,0.487,13.4575,0.000691962,0.017,gaiaj,,3302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.221273,NaN,40,0.01294863,,,NaN
b'C',b'01224511-6318446',13.3000001907349,8.97999954223633,94.5,-29,b'M3.3',11.6300001144409,2.28999996185303,3.29999995231628,7.80000019073486,16.8999996185303,b'M3.5',-6.63000011444092,52.0999984741211,b'Y',b'',b'RV',b'',3,1,20.68796,-63.31239,20.68796,-63.31239,237885807,20.687964,-63.312394,93.0294,-36.7628,11.432,STAR,2mass,0.0157856708734991,20180610,,,134-001257,01224511-6318446,,J012245.26-631845.0,4712271335001177856,29749560,,tmgaia,4.33066,4.33066,hsoy,NaN,NaN,,297.035055,-53.455868,333.462757,-61.988732,15.616,0.046,14.354,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.833,0.021,9.212,0.025,8.983,0.023,AAA-222-111-000-0-0,24.7,8.847,0.024,8.676,0.02,8.529,0.022,8.313,0.243,12.5425,0.000446377,0.017,gaiaj,,3203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0214289,NaN,14,0.03810279,,,NaN
b'C',b'02523550-7831183',15.8000001907349,10.7799997329712,67.5999984741211,15.8999996185303,b'M4.8',13.5900001525879,2.79999995231628,3.90000009536743,12.8000001907349,11.6000003814697,b'M4.4',-7.46999979019165,45,b'Y',b'',b'RV',b'',2,3,43.14792,-78.52175,43.14792,-78.52175,394355443,43.147934,-78.521754,76.4734,13.9793,13.465,STAR,2mass,0.0175484679999973,20180610,,,058-001934,02523550-7831183,,J025235.78-783118.1,4632695761489549824,,,tmgaia,3.29375,3.29374,hsoy,NaN,NaN,,295.726272,-36.855075,298.720511,-72.414334,18.071,0.162,16.545,0.206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.67,0.023,11.119,0.026,10.782,0.023,AAA-222-111-000-0-0,39,10.623,0.022,10.396,0.02,10.229,0.042,8.819,NaN,14.6869,0.00129295,0.017,gaiaj,,3076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0899718,NaN,22,0.02043656,,,NaN
b'C',b'20095193-5526509',14.6000003814697,10.3199996948242,11.3000001907349,-66.1999969482422,b'M3.5',12.960000038147,3.45000004768372,4.30000019073486,12.8999996185303,21.2000007629395,b'M3.6',-6.84999990463257,10.8999996185303,b'N',b'?',b'RV',b'',2,2,302.46637,-55.44747,302.46637,-55.44747,360810224,302.466375,-55.447466,14.9091,-63.0389,12.803,STAR,2mass,0.017651680438745,20180610,,,173-211915,20095193-5526509,,J200951.96-552651.5,6472086218343874816,29615670,,tmgaia,3.28109,3.28109,hsoy,NaN,NaN,,342.514991,-33.020109,291.65937,-34.423172,17.027,0.029,15.881,0.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.124,0.024,10.558,0.022,10.323,0.019,AAA-222-111-000-0-0,28,10.158,0.022,9.958,0.019,9.79,0.048,8.202,NaN,13.9599,0.000887237,0.017,gaiaj,,3131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0635383,NaN,51,0.008282411,,,NaN
