#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Name, SpT, __3_6_, __4_5_, __5_8_, __8_0_, __24_, W1mag, W2mag, W3mag, W4mag, E4_5, E8_0, E24, EW2, EW3, EW4, WISE, _2M, Simbad, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, float, float, float, float, float, float, float, float, string, string, string, string, string, string, string, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Name,SpT,__3_6_,__4_5_,__5_8_,__8_0_,__24_,W1mag,W2mag,W3mag,W4mag,E4_5,E8_0,E24,EW2,EW3,EW4,WISE,_2M,Simbad,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag_,e_w1mag,w2mag_,e_w2mag,w3mag_,e_w3mag,w4mag_,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'2MASS J16194210-2504323',b'M6',NaN,NaN,NaN,NaN,NaN,13.5299997329712,12.9899997711182,NaN,NaN,b'',b'',b'',b'Y?',b'',b'',b'WISE',b'2M',b'Simbad',244.92542,-25.07564,244.92542,-25.07564,98533816,244.925422,-25.07564,NaN,NaN,17.647,STAR,2mass,0.00652139333409217,20180610,,,,16194210-2504323,,J161942.09-250432.5,6048824479881944448,,,tmgaia,NaN,NaN,,NaN,NaN,,351.474407,17.596067,247.380691,-3.583912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.096,0.039,14.319,0.023,13.801,0.043,AAA-222-111-000-0-0,25.7,13.545,0.03,13.027,0.037,11.603,NaN,8.751,NaN,19.2372,0.0359604,0.042,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J16004318-2229143',b'M6.5',NaN,NaN,NaN,NaN,NaN,13.8800001144409,13.5900001525879,NaN,NaN,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',240.17992,-22.48731,240.17992,-22.48731,12776293,240.179923,-22.487309,NaN,NaN,17.889,STAR,2mass,0.0106083330729106,20180610,,,,16004318-2229143,,J160043.17-222914.5,6243215485679648256,,,tmgaia,NaN,NaN,,NaN,NaN,,350.268078,22.522275,242.632038,-1.836643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.396,0.059,14.688,0.063,14.299,0.089,AAA-222-111-000-0-0,11.3,13.949,0.029,13.594,0.038,12.09,0.418,8.792,NaN,19.4543,0.0436348,0.051,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J16144016-2014030',b'F8V',NaN,6.98999977111816,NaN,7.03000020980835,6.98000001907349,6.98999977111816,7,7.01999998092651,7.15000009536743,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',243.66733,-20.23417,243.66733,-20.23417,49510655,243.667333,-20.234172,-17.3529,-27.7208,8.275,STAR,2mass,0.012430921116608,20180610,79606,6209-00506-1,349-078713,16144016-2014030,,J161440.15-201403.3,6245405781559108992,11487449,,tmgaia,0.164092,0.12475,tgas,6.64492,0.221097,tgas,354.444883,21.715047,245.400751,0.98451,9.923,0.052,9.14,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.526,0.029,7.235,0.051,7.072,0.023,AAA-111-111-000-0-0,10.6,6.996,0.049,6.995,0.02,7.043,0.018,7.088,0.134,8.82982,0.000345996,0.019,gaiaj,tplx,6967,205,3.76131,0.335983,NaN,NaN,2.69433,0.321371,1.52682,0.361236,0.0780612,0.0279327,DWARF,15.40918,3.675915,150.4908,8.44008,0.473895,NaN,95,0.001629753,,,NaN
b'2MASS J16212488-2426145',b'M3.5',11.0200004577637,10.8800001144409,10.8299999237061,10.8500003814697,NaN,11.1599998474121,10.9300003051758,NaN,NaN,b'N',b'N',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',245.35367,-24.43736,245.35367,-24.43736,322926684,245.353672,-24.437365,-7.98887,-18.1616,15.161,STAR,2mass,0.0191564030799327,20180610,,,,16212488-2426145,,J162124.88-242614.6,6049289672085291520,,,tmgaia,2.48028,2.48028,hsoy,NaN,NaN,,352.244372,17.738858,247.65762,-2.889517,20.741,0.189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.878,0.023,11.869,0.027,11.417,0.023,AAA-222-111-000-0-0,38.5,11.166,0.023,10.933,0.021,10.275,0.306,8.505,NaN,16.6317,0.00427351,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,1.10547,NaN,0,NaN,,,NaN
b'2MASS J16172505-2350380',b'M5',NaN,NaN,NaN,NaN,NaN,12.3999996185303,12.1000003814697,NaN,NaN,b'',b'',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',244.35437,-23.84389,244.35437,-23.84389,49746064,244.354374,-23.843894,-9.50976,-24.4193,16.139,STAR,2mass,0.0195149759623889,20180610,,,,16172505-2350380,,J161725.04-235038.2,6050121796229290368,,,tmgaia,2.54806,2.5478,hsoy,NaN,NaN,,352.058442,18.812447,246.657361,-2.458907,21.037,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.74,0.026,13.016,0.024,12.63,0.027,AAA-222-111-000-0-0,18.5,12.384,0.023,12.106,0.024,12.002,0.461,8.846,NaN,17.6622,0.00936147,0.02,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J16093378-1904562',b'M2',NaN,9.52999973297119,NaN,9.47000026702881,9.23999977111816,9.68000030517578,9.52999973297119,9.34000015258789,NaN,b'N',b'N',b'N',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',242.39075,-19.08228,242.39075,-19.08228,49037975,242.390754,-19.082284,-13.5085,-24.9787,12.484,STAR,2mass,0.0198130584078613,20180610,,,355-077333,16093378-1904562,1237674654766399698,J160933.78-190456.4,6245779271915508480,8833445,,tmgaia,2.14372,2.14372,hsoy,NaN,NaN,,354.492388,23.3794,244.010009,1.900533,16.684,0.033,15.187,0.114,18.848,0.0264933,16.1474,0.00391603,14.5161,0.00387384,13.494,0.000664287,12.4292,0.00364128,10.907,0.029,10.075,0.027,9.851,0.023,AAA-222-111-000-0-0,33,9.673,0.023,9.534,0.02,9.346,0.041,8.892,NaN,13.5831,0.000735838,0.018,gaiaj,,3300,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.357598,NaN,0,NaN,,,NaN
b'2MASS J15572849-2219051',b'M5',NaN,NaN,NaN,NaN,NaN,11.3500003814697,11.1300001144409,10.9300003051758,NaN,b'',b'',b'',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',239.36871,-22.31808,239.36871,-22.31808,280158322,239.368715,-22.318083,-12.4007,-24.6461,14.545,STAR,2mass,0.019847327311591,20180610,,,,15572849-2219051,,J155728.47-221905.2,6237462359805972224,,,tmgaia,2.08742,2.08739,hsoy,NaN,NaN,,349.820683,23.171218,241.862965,-1.821103,19.745,0.167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.532,0.024,11.904,0.022,11.605,0.023,AAA-222-111-000-0-0,18.2,11.385,0.024,11.148,0.021,10.883,0.148,8.838,0.453,15.8824,0.00258591,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.229276,NaN,0,NaN,,,NaN
b'2MASS J16095441-1906551',b'M1',NaN,9.39000034332275,NaN,9.31999969482422,8.77000045776367,9.44999980926514,9.36999988555908,9.22999954223633,NaN,b'N',b'N',b'Y',b'N',b'N',b'',b'WISE',b'2M',b'Simbad',242.47671,-19.11531,242.47671,-19.11531,49037928,242.476716,-19.115311,-14.7972,-22.6628,12.174,STAR,2mass,0.020724081998836,20180610,,,355-077378,16095441-1906551,1237674654766465097,J160954.40-190655.3,6245775561063728128,8833949,,tmgaia,2.14619,2.14391,hsoy,NaN,NaN,,354.525558,23.297171,244.095979,1.883031,16.248,0.044,14.541,0.137,18.122,0.0193038,15.506,0.00401354,14.0797,0.00747834,16.8935,0.018569,12.1885,0.00397921,10.65,0.026,9.866,0.023,9.599,0.021,AAA-222-111-000-0-0,33.8,9.472,0.023,9.386,0.02,9.237,0.043,8.87,0.538,13.2411,0.000622981,0.018,gaiaj,,3391,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.38818,NaN,0,NaN,,,NaN
b'2MASS J16123759-2349234',b'M5.75',12.4899997711182,12.4099998474121,12.3400001525879,12.3699998855591,NaN,12.5900001525879,12.4099998474121,NaN,NaN,b'N',b'N',b'',b'N',b'',b'',b'WISE',b'2M',b'Simbad',243.15662,-23.82317,243.15662,-23.82317,49283305,243.156626,-23.823168,NaN,NaN,15.683,STAR,2mass,0.0210304989421511,20180610,,,,16123759-2349234,,J161237.58-234923.5,,,,2mass,NaN,NaN,,NaN,NaN,,351.28323,19.627901,245.574154,-2.631408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.933,0.027,13.28,0.029,12.912,0.033,AAA-222-111-000-0-0,10.9,12.635,0.024,12.409,0.025,11.818,NaN,8.781,NaN,NaN,NaN,1,jhk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'2MASS J16180546-3139064',b'A0V',NaN,7.88000011444092,NaN,7.90999984741211,7.84000015258789,7.84000015258789,7.82000017166138,7.8600001335144,7.78000020980835,b'N',b'N',b'N',b'N',b'N',b'N',b'WISE',b'2M',b'Simbad',244.52275,-31.65178,244.52275,-31.65178,96552404,244.52275,-31.651786,-10.0622,-12.7175,8.131,STAR,2mass,0.0215999999910397,20180610,79860,7343-00276-1,292-090549,16180546-3139064,,J161805.46-313906.3,6037205936219060480,16652000,,tmgaia,0.0602061,0.0361455,tgas,4.03691,0.302118,tgas,346.262527,13.335269,248.163462,-10.123611,8.363,0.029,8.26,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.943,0.019,7.91,0.021,7.92,0.02,AAA-112-111-000-0-0,10.3,7.853,0.025,7.841,0.02,7.891,0.02,7.766,0.237,8.24991,0.000345996,0.017,gaiaj,tplx,8129,221,3.94093,0.387252,NaN,NaN,2.49545,0.416341,1.98061,0.389238,0.127454,0.0637931,DWARF,24.49858,8.174689,247.7142,NaN,NaN,NaN,208,0.008077902,,,0.0001243528
