#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#__PGZ2001_, f__PGZ2001_, EWLi, u_EWLi, EWHa, u_EWHa, SpType, u_SpType, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, float, string, float, string, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
__PGZ2001_,f__PGZ2001_,EWLi,u_EWLi,EWHa,u_EWHa,SpType,u_SpType,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'160428.4-190441',b'',0.680000007152557,b'',-5,b'',b'M 3',b'',241.1183,-19.0781,241.1183,-19.0781,9917732,241.118302,-19.078169,-0.240384,-30.6154,12.2,STAR,2mass,0.24849318228168,20180610,,,355-076764,16042839-1904413,,J160428.37-190441.4,6247329725045990656,8825642,,tmgaia,2.14585,2.14569,hsoy,NaN,NaN,,353.601569,24.263732,242.827633,1.678091,16.441,0.014,14.988,0.149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.317,0.026,9.553,0.027,9.281,0.025,AAA-222-111-000-0-0,9.8,9.046,0.022,8.892,0.02,8.837,0.033,8.558,0.403,13.4698,0.000696157,0.018,gaiaj,,3229,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.311462,NaN,0,NaN,,,NaN
b'160647.5-202232',b'',0.409999996423721,b'',-3.20000004768372,b'',b'M 2',b'',241.6979,-20.3756,241.6979,-20.3756,161834051,241.69797,-20.375629,-10.1538,-17.5659,12.524,STAR,2mass,0.25827334116428,20180610,,,349-077682,16064751-2022322,,J160647.50-202232.4,6244124747433842816,11473611,,tmgaia,2.14658,2.14657,hsoy,NaN,NaN,,352.97877,22.977058,243.610481,0.508258,16.616,0.016,15.018,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.898,0.024,10.138,0.022,9.866,0.019,AAA-222-111-000-0-0,28,9.776,0.023,9.676,0.02,9.685,0.053,8.571,NaN,13.6513,0.000760955,0.017,gaiaj,,3340,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.30853,NaN,0,NaN,,,NaN
b'160739.4-191747',b'',0.519999980926514,b'',-2.29999995231628,b'',b'M 2',b'',241.9142,-19.2964,241.9142,-19.2964,48868362,241.914149,-19.296459,-12.6894,-23.7427,12.426,STAR,2mass,0.2741198124653,20180610,,,354-076067,16073939-1917472,1237674654229397893,J160739.39-191747.4,6248748262548967040,8830517,,tmgaia,2.14372,2.14372,hsoy,NaN,NaN,,353.988175,23.565372,243.607356,1.606414,16.562,0.096,15.276,0.149,18.815,0.0259619,15.8386,0.00354483,14.2455,0.00386123,13.2992,0.00108393,12.2795,0.00388555,10.861,0.026,10.092,0.024,9.796,0.019,AAA-222-111-000-0-0,30.4,9.646,0.022,9.543,0.02,9.366,0.038,8.623,0.45,13.5178,0.000712669,0.018,gaiaj,,3271,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.242555,NaN,0,NaN,,,NaN
b'160933.8-190456',b'',0.490000009536743,b'',-3.29999995231628,b'',b'M 2',b'',242.3908,-19.0822,242.3908,-19.0822,49037975,242.390754,-19.082284,-13.5085,-24.9787,12.484,STAR,2mass,0.340496860929208,20180610,,,355-077333,16093378-1904562,1237674654766399698,J160933.78-190456.4,6245779271915508480,8833445,,tmgaia,2.14372,2.14372,hsoy,NaN,NaN,,354.492388,23.3794,244.010009,1.900533,16.684,0.033,15.187,0.114,18.848,0.0264933,16.1474,0.00391603,14.5161,0.00387384,13.494,0.000664287,12.4292,0.00364128,10.907,0.029,10.075,0.027,9.851,0.023,AAA-222-111-000-0-0,33,9.673,0.023,9.534,0.02,9.346,0.041,8.892,NaN,13.5831,0.000735838,0.018,gaiaj,,3300,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.357598,NaN,0,NaN,,,NaN
b'160600.6-195711',b'',0.800000011920929,b':',-7.5,b'',b'M 5',b'',241.5025,-19.9531,241.5025,-19.9531,48764666,241.502566,-19.953182,NaN,NaN,13.142,STAR,2mass,0.370165656673507,20180610,,,351-078483,16060061-1957114,,J160600.62-195711.8,6244201992420731008,,,tmmgaia,NaN,NaN,,NaN,NaN,,353.176424,23.400256,243.350418,0.888369,19.367,0.163,16.96,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.622,0.031,10.885,0.027,10.443,0.026,AAA-222-111-000-0-0,14.5,10.105,0.023,9.806,0.021,9.045,0.04,6.936,0.089,14.2063,0.001,0.019,gaiaj,,2892,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.247547,NaN,0,NaN,,,NaN
b'160722.4-201158',b'',0.5,b':',-14,b'',b'M 5',b'',241.8433,-20.1994,241.8433,-20.1994,48794530,241.843349,-20.199492,NaN,NaN,14.963,STAR,2mass,0.370270838085088,20180610,,,,16072240-2011581,1237674653155853035,J160722.39-201158.5,,,,2mass,NaN,NaN,,NaN,NaN,,353.21963,22.998336,243.711269,0.706906,20.122,0.162,NaN,NaN,21.5911,0.190324,19.4556,0.0138259,17.835,0.00670617,15.7385,0.00396344,14.5174,0.00459713,12.705,0.026,12.024,0.023,11.588,0.021,AAA-222-111-000-0-0,8,11.266,0.024,10.779,0.021,9.258,0.036,7.212,0.113,NaN,NaN,0.184,bpjk,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.298499,NaN,0,NaN,,,NaN
b'160913.4-194328',b'',0.540000021457672,b'',-1.60000002384186,b'',b'M 3',b'',242.3058,-19.7244,242.3058,-19.7244,48962531,242.305778,-19.724503,-8.52311,-22.0272,13.313,STAR,2mass,0.378220570271513,20180610,,,352-077230,16091338-1943281,,J160913.37-194328.4,6245672378772181248,,,tmgaia,1.98801,1.988,hsoy,NaN,NaN,,353.919054,23.003718,244.049857,1.254558,17.971,0.162,16.397,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.583,0.024,10.867,0.024,10.595,0.019,AAA-222-111-000-0-0,17.1,10.479,0.023,10.312,0.021,10.25,0.073,8.461,NaN,14.4997,0.0011706,0.017,gaiaj,,3213,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.284202,NaN,0,NaN,,,NaN
b'160628.7-200357',b'',0.579999983310699,b'',-30,b'',b'M 5',b'',241.6196,-20.0658,241.6196,-20.0658,48764549,241.619682,-20.065876,-16.1261,-29.5193,13.286,STAR,2mass,0.389540430591874,20180610,,,350-079010,16062872-2003571,1237674653155722191,J160628.71-200357.3,6244185564172020096,11472958,,tmgaia,1.98801,1.988,hsoy,NaN,NaN,,353.169211,23.242883,243.479836,0.798564,18.269,0.162,16.617,0.114,19.5674,0.0405056,17.0514,0.00472741,15.6202,0.00387546,13.9874,0.00354422,13.0463,0.00372075,11.442,0.027,10.795,0.026,10.464,0.019,AAA-222-111-000-0-0,15.3,10.298,0.023,10.09,0.02,9.901,0.061,8.37,0.368,14.5351,0.00119266,0.018,gaiaj,,2978,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.271328,NaN,0,NaN,,,NaN
b'161116.6-193910',b'',0.469999998807907,b'',-3.40000009536743,b'',b'M 4',b'',242.8192,-19.6528,242.8192,-19.6528,49167083,242.819284,-19.652881,-14.6669,-24.925,12.271,STAR,2mass,0.407593880572237,20180610,,,352-077560,16111662-1939103,,J161116.62-193910.6,6245688218609321600,8835816,,tmgaia,2.16807,2.14576,hsoy,NaN,NaN,,354.331145,22.696024,244.512141,1.413607,16.897,0.137,15.374,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.525,0.024,9.83,0.023,9.547,0.019,AAA-222-111-000-0-0,18.4,9.432,0.023,9.271,0.02,9.147,0.034,8.796,NaN,13.4655,0.000694672,0.017,gaiaj,,3209,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.27273,NaN,0,NaN,,,NaN
b'160825.1-201224',b'',0.409999996423721,b'',-2,b'',b'M 1',b'',242.1046,-20.2067,242.1046,-20.2067,48872020,242.10463,-20.206831,-9.88974,-20.3026,12.404,STAR,2mass,0.482368073790603,20180610,,,349-077901,16082511-2012245,,J160825.10-201224.8,6244153506535825152,11477068,,tmgaia,2.14428,2.14375,hsoy,NaN,NaN,,353.395614,22.814214,243.953544,0.74553,16.446,0.056,14.705,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.878,0.023,10.092,0.022,9.866,0.019,AAA-222-111-000-0-0,13.7,9.769,0.023,9.679,0.02,9.601,0.052,8.61,NaN,13.472,0.000696901,0.017,gaiaj,,3418,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.323885,NaN,0,NaN,,,NaN
