#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#HIP, Memb, Simbad, _RA, _DE, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP_, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, float, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
HIP,Memb,Simbad,_RA,_DE,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP_,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
65875,88,b'Simbad',202.5374,-58.48454,202.5374,-58.48454,68414973,202.537398,-58.484541,-32.1793,-20.1538,7.613,STAR,2mass,0.0052081696537889,20180610,65875,8674-00556-1,158-112505,13300897-5829043,,J133008.94-582904.3,5870290793989676544,28578312,,tmgaia,0.0433785,0.0462381,tgas,9.10363,0.388677,tgas,307.98571,4.006839,227.284333,-44.624394,8.551,0.027,8.08,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.166,0.023,6.973,0.04,6.897,0.029,AAA-111-111-000-0-0,10.6,6.855,0.028,6.864,0.018,6.698,0.011,3.993,0.015,7.93933,0.000345996,0.018,gaiaj,tplx,6556.65,57.4227,NaN,NaN,NaN,NaN,2.26479,0.261241,1.51557,0.358412,0.130464,0.0451468,DWARF,8.540407,1.970253,109.8463,5.92437,NaN,NaN,644,0.03782453,,,0.000202946
79369,82,b'Simbad',242.98133,-21.105,242.98133,-21.105,49200238,242.981328,-21.105,-9.5414,-23.5975,8.391,STAR,2mass,0.00671703925876322,20180610,79369,6213-01492-1,345-080248,16115551-2106179,,J161155.51-210618.2,6243102132903181696,11482927,,tmgaia,0.11778,0.0824543,tgas,7.23737,0.262371,tgas,353.287279,21.601949,244.924722,0.013059,9.427,NaN,8.97,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.855,0.021,7.652,0.038,7.562,0.026,AAA-111-111-000-0-0,33.6,7.507,0.028,7.527,0.02,7.553,0.02,7.49,0.17,8.78665,0.000345996,0.018,gaiaj,tplx,7211,208,4.1083,0.335901,NaN,NaN,1.85942,0.225607,1.61669,0.375489,0.251475,0.0915357,DWARF,8.422319,2.043792,138.1717,7.6088,0.273006,NaN,96,0.003650318,,,NaN
68413,66,b'Simbad',210.07246,-61.48103,210.07246,-61.48103,326467176,210.072462,-61.481032,-64.2285,-34.7536,6.158,STAR,2mass,0.0079785558488068,20180610,68413,9005-03917-1,143-135970,14001739-6128517,,J140017.25-612851.5,5866342138497890944,30995510,,tmgaia,0.0265026,0.0259886,tgas,16.813,0.389167,tgas,311.054477,0.300141,234.015354,-45.315256,6.793,0.025,6.49,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.825,0.023,5.719,0.031,5.66,0.023,AAA-111-111-000-0-0,11,5.545,0.108,5.501,0.052,5.496,0.023,4.754,0.059,6.39408,0.000345996,0.018,gaiaj,tplx,7732,215,4.19038,0.305755,NaN,NaN,1.79596,0.197298,1.822,0.387416,0.314527,0.103659,DWARF,10.38617,2.281978,59.47773,1.7383,NaN,NaN,1074,0.01990908,,,0.000366527
61498,81,b'Simbad',189.0043,-39.86951,189.0043,-39.86951,144221009,189.004298,-39.869508,-56,-24,5.815,STAR,2mass,0.00907618783952278,20180610,61498,7762-01973-1,251-056003,12360103-3952102,,J123600.96-395210.9,,,,2mass,8,8,sblink,14.91,0.75,hip,299.720486,22.906066,205.723119,-32.708309,5.784,0.022,5.78,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.784,0.019,5.794,0.036,5.769,0.023,AAA-111-111-000-0-0,7.8,5.368,0.044,5.399,0.034,5.024,0.016,1.222,0.009,NaN,NaN,0.03,vjk,hplx,9750,113,NaN,NaN,NaN,NaN,2.03512,0.20305,2.35453,0.418109,0.279341,0.083612,DWARF,33.72044,6.728778,67.06908,3.3737,0.0987718,NaN,84,0.01514035,,,1
70483,52,b'Simbad',216.25425,-37.44704,216.25425,-37.44704,167596713,216.254254,-37.447041,-33.53,-31.95,6.556,STAR,2mass,0.0119858019241521,20180610,70483,7307-02309-1,263-075859,14250102-3726493,,J142500.98-372649.6,6118457715206142336,18635686,,tmgaia,2,2,sblink,9.06,0.61,hip,322.778129,21.791969,226.413789,-21.783427,6.791,0.024,6.7,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.38,0.024,6.281,0.034,6.22,0.016,AAA-111-111-000-0-0,25.1,6.238,0.058,6.167,0.022,6.238,0.016,6.172,0.043,6.66419,0.000345996,0.019,gaiaj,hplx,7727,215,3.89797,0.378114,NaN,NaN,2.5134,0.39445,1.81996,0.38371,0.114624,0.053967,DWARF,20.28904,6.368277,110.375,NaN,0.0684773,NaN,94,0.003076961,,,0.001834994
82069,51,b'Simbad',251.45193,-26.64942,251.45193,-26.64942,409228490,251.451928,-26.649417,-18.3239,-31.8339,7.02,STAR,2mass,0.0125718282627871,20180610,82069,6817-02179-1,317-091618,16454846-2638579,,J164548.44-263858.1,6034203685356069248,12775489,,tmgaia,0.0346336,0.0265395,tgas,9.32049,0.333728,tgas,354.211953,12.12237,253.43522,-4.270467,7.064,NaN,7.02,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.943,0.018,6.979,0.038,6.919,0.024,AAA-111-111-000-0-0,8.3,6.926,0.058,6.934,0.021,6.836,0.017,5.829,0.053,7.04661,0.000345996,0.017,gaiaj,tplx,9329,239,4.38565,0.303104,NaN,NaN,1.63534,0.201179,2.36831,0.419243,0.54152,0.199853,DWARF,18.24951,4.490098,107.2905,5.16565,NaN,NaN,296,0.0169183,,,NaN
79410,79,b'Simbad',243.09097,-19.57905,243.09097,-19.57905,49205586,243.090966,-19.579049,-9.14909,-24.0944,7.428,STAR,2mass,0.0140368852035769,20180610,79410,6209-00983-1,353-079131,16122183-1934445,,J161221.82-193444.8,6245692616655920896,8837288,,tmgaia,0.0669047,0.0511689,tgas,6.49998,0.369268,tgas,354.576897,22.556424,244.750553,1.532522,7.712,NaN,7.64,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.174,0.024,7.171,0.057,7.071,0.029,AAA-111-111-000-0-0,31.6,7.036,0.047,7.018,0.021,6.732,0.015,5.684,0.042,7.60167,0.000345996,0.018,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,153.8467,11.2609,0.424715,NaN,90,0.0005244735,,,NaN
65136,63,b'Simbad',200.21506,-48.72214,200.21506,-48.72214,245430125,200.215065,-48.722137,-25.2861,-16.0515,8.873,STAR,2mass,0.01605151001257,20180610,65136,8252-01113-1,207-069757,13205161-4843196,,J132051.58-484319.8,6083337664545702528,23304292,,tmgaia,0.0630226,0.0624506,tgas,5.69893,0.276556,tgas,307.922691,13.864293,219.376376,-36.786007,9.575,0.039,9.23,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.519,0.03,8.421,0.069,8.326,0.024,AAA-111-111-000-0-0,17.7,8.311,0.023,8.316,0.02,8.296,0.02,8.177,0.166,9.12728,0.000345996,0.02,gaiaj,tplx,8107,221,4.3653,0.332064,NaN,NaN,1.52769,0.202942,1.97214,0.392838,0.553136,0.22044,DWARF,9.08251,2.413085,175.4715,12.5632,NaN,NaN,182,0.01060167,,,0.0002220414
64322,74,b'Simbad',197.74589,-62.08771,197.74589,-62.08771,442062521,197.745895,-62.087714,-23.1053,-15.1885,7.827,STAR,2mass,0.0166841233617295,20180610,64322,8994-00577-1,140-103201,13105901-6205157,,J131058.97-620516.3,5863295048178769792,30881094,,tmgaia,0.0477948,0.0477951,tgas,10.6983,0.26749,tgas,305.217349,0.697271,227.255717,-48.937356,8.632,0.026,8.23,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.419,0.026,7.25,0.049,7.194,0.031,AAA-111-111-000-0-0,7.7,7.237,0.034,7.274,0.028,7.134,0.029,6.27,0.159,8.1233,0.000345996,0.019,gaiaj,tplx,7039,206,4.29792,0.326247,NaN,NaN,1.46523,0.164909,1.55349,0.366863,0.493845,0.166744,DWARF,4.748432,1.068855,93.47304,3.51176,NaN,NaN,1059,0.04588374,,,0.0003834584
72627,93,b'Simbad',222.74463,-42.82251,222.74463,-42.82251,129948345,222.744635,-42.822514,-22.9737,-23.9404,6.706,STAR,2mass,0.0195361600932933,20180610,72627,7828-03521-1,236-078124,14505871-4249210,,J145058.68-424921.2,6100404009154367616,21003927,,tmgaia,0.0412501,0.0312317,tgas,6.39322,0.405705,tgas,325.145371,14.834364,233.469468,-25.189686,6.953,0.025,6.84,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.52,0.023,6.513,0.031,6.47,0.026,AAA-111-111-000-0-0,19.5,6.483,0.076,6.456,0.023,6.522,0.017,6.456,0.07,6.82281,0.000345996,0.018,gaiaj,tplx,8895,233,3.83497,0.356163,NaN,NaN,2.99858,0.458628,2.24063,0.408748,0.0831042,0.038132,DWARF,50.71189,15.5126,156.4157,12.3449,NaN,NaN,183,0.003547444,,,0.0001397361
