#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#RIK, _2MASS, EWLi, e_EWLi, EWHa, e_EWHa, SpT, AV, D, _2M, Simbad, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, string, float, float, float, float, string, float, float, string, string, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
RIK,_2MASS,EWLi,e_EWLi,EWHa,e_EWHa,SpT,AV,D,_2M,Simbad,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d_,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
225,b'J16253504-2332549',0.579999983310699,0.0299999993294477,-2.1800000667572,0.0700000002980232,b'M0.0',2.09999990463257,0,b'2M',b'Simbad',246.396,-23.5486111111111,203822398,246.396002,-23.548612,0.618469,-28.3978,11.743,STAR,2mass,0.00733520318186115,20180610,,,333-084723,16253504-2332549,,J162535.03-233255.2,6050939454923673856,11500185,,tmgaia,2.35102,2.35102,hsoy,NaN,NaN,,353.605801,17.62001,248.453256,-1.85766,15.846,0.045,14.596,0.069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.079,0.024,9.207,0.024,8.91,0.025,AAA-222-111-000-0-0,15.2,8.722,0.023,8.659,0.021,8.569,0.03,8.141,0.273,12.8923,0.000526971,0.017,gaiaj,,3233,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,1.17916,NaN,0,NaN,,,NaN
101,b'J16100394-2728479',0.639999985694885,0.0500000007450581,-7.6399998664856,0.189999997615814,b'M4.5',0.800000011920929,0,b'2M',b'Simbad',242.516416666667,-27.48,68053008,242.516415,-27.479998,-13.2109,-18.8924,13.894,STAR,2mass,0.00895403152017035,20180610,,,,16100394-2728479,,J161003.92-272848.0,6042454351892145280,,,tmgaia,2.09012,2.09011,hsoy,NaN,NaN,,348.086115,17.501527,245.673359,-6.33215,18.87,0.161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.102,0.021,11.44,0.022,11.199,0.023,AAA-222-111-000-0-0,8.2,10.951,0.023,10.729,0.02,10.723,0.124,8.922,NaN,15.1138,0.00163495,0.017,gaiaj,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.327065,NaN,0,NaN,,,NaN
112,b'J16120505-2043404',0.569999992847443,0.0299999993294477,-12.3400001525879,0.200000002980232,b'M1.0',1.20000004768372,1,b'2M',b'Simbad',243.021041666667,-20.7279166666667,49200695,243.021043,-20.727919,-10.4413,-23.6398,11.686,STAR,2mass,0.00952438120395883,20180610,,,347-077672,16120505-2043404,,J161205.04-204340.7,6243868698664358784,11483130,,tmgaia,2.14388,2.14381,hsoy,NaN,NaN,,353.612819,21.830201,244.893115,0.39064,15.586,0.047,14.091,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.102,0.024,9.321,0.023,9.065,0.024,AAA-222-111-000-0-0,21.2,8.91,0.023,8.714,0.021,7.497,0.019,5.931,0.058,12.7891,0.000501713,0.017,gaiaj,,3370,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.319151,NaN,0,NaN,,,NaN
47,b'J16001216-2157032',0.430000007152557,0.0299999993294477,-4.36999988555908,0.140000000596046,b'M2.5',0,0,b'2M',b'Simbad',240.050708333333,-21.9509166666667,12725753,240.050705,-21.950916,-11.2226,-24.4494,12.992,STAR,2mass,0.0113858710384879,20180610,,,341-077857,16001216-2157032,,J160012.16-215703.5,6243459405461002112,11459121,,tmgaia,2.06621,2.0662,hsoy,NaN,NaN,,350.588829,22.985457,242.408352,-1.334616,17.431,0.122,16.036,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.311,0.024,10.594,0.024,10.341,0.019,AAA-222-111-000-0-0,39.7,10.238,0.023,10.096,0.021,9.913,0.058,8.653,NaN,14.151,0.000977293,0.017,gaiaj,,3231,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.189311,NaN,0,NaN,,,NaN
17,b'J15555098-2519393',0.600000023841858,0.0299999993294477,-5.05000019073486,0.109999999403954,b'M4.5',0,0,b'2M',b'Simbad',238.962416666667,-25.3276111111111,77472525,238.962418,-25.327608,-12.0801,-24.1776,13.357,STAR,2mass,0.0120109742808441,20180610,,,324-080020,15555098-2519393,,J155550.96-251939.6,6235737569659889024,,,tmgaia,2.10176,2.10174,hsoy,NaN,NaN,,347.271867,21.266296,242.114327,-4.843087,17.117,0.162,16.623,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.638,0.023,10.982,0.023,10.702,0.021,AAA-222-111-000-0-0,22.3,10.552,0.023,10.385,0.021,10.333,0.087,9.004,NaN,14.537,0.00119384,0.017,gaiaj,,3195,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.116974,NaN,0,NaN,,,NaN
156,b'J16161720-2609101',0.709999978542328,0.0500000007450581,-2.24000000953674,0.0599999986588955,b'K4.0',0.300000011920929,0,b'2M',b'Simbad',244.071666666667,-26.1528333333333,98087668,244.071662,-26.152833,-13.0326,-27.9322,11.206,STAR,2mass,0.0151277125714446,20180610,,,320-086090,16161720-2609101,,J161617.19-260910.4,6048644464917774208,13668984,,tmgaia,2.29118,2.29118,hsoy,NaN,NaN,,350.097664,17.425263,246.805713,-4.777294,14.681,0.03,13.343,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.763,0.024,8.956,0.042,8.719,0.019,AAA-212-111-000-0-0,17.5,8.595,0.023,8.554,0.021,8.47,0.029,8.724,0.477,12.2241,0.000384272,0.018,gaiaj,,3479,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.763013,NaN,0,NaN,,,NaN
187,b'J16202724-2126068',0.519999980926514,0.0399999991059303,-2.50999999046326,0.0500000007450581,b'M1.5',0,0,b'2M',b'Simbad',245.1135,-21.43525,50059657,245.113502,-21.435254,-10.317,-28.2451,11.598,STAR,2mass,0.015883217416232,20180610,,,343-082391,16202724-2126068,,J162027.23-212607.1,6244289330581531648,11495804,,tmgaia,2.22284,2.22282,hsoy,NaN,NaN,,354.450868,19.906928,246.938788,0.033715,15.189,-0.042,13.915,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.141,0.023,9.437,0.022,9.193,0.019,AAA-222-111-000-0-0,19.9,9.086,0.024,9.001,0.021,8.933,0.036,8.406,NaN,12.6248,0.000464097,0.017,gaiaj,,3450,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.310567,NaN,0,NaN,,,NaN
160,b'J16165984-2154272',0.170000001788139,0.0199999995529652,-4.21999979019165,0.0500000007450581,b'M3.5',0.400000005960464,0,b'2M',b'Simbad',244.249333333333,-21.9075833333333,49695352,244.249336,-21.907579,-14.5387,-26.3806,13.287,STAR,2mass,0.0179635821571356,20180610,,,341-080120,16165984-2154272,,J161659.82-215427.5,6242758844756933632,,,tmgaia,2.13768,2.13768,hsoy,NaN,NaN,,353.505909,20.189812,246.227748,-0.568336,17.971,0.162,16.367,0.183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.584,0.022,10.899,0.026,10.641,0.019,AAA-222-111-000-0-0,16.7,10.519,0.023,10.357,0.02,10.245,0.071,8.744,NaN,14.4578,0.00114515,0.017,gaiaj,,3086,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.239717,NaN,0,NaN,,,NaN
107,b'J16110567-2144032',0.629999995231628,0.0199999995529652,-6.01000022888184,0.0399999991059303,b'M1.5',0.899999976158142,0,b'2M',b'Simbad',242.773625,-21.73425,49169665,242.773625,-21.734245,-10.8828,-23.1268,11.976,STAR,2mass,0.0179999999819619,20180610,,,342-078257,16110567-2144032,,J161105.66-214403.6,6242949747463048192,11481645,,tmgaia,2.24121,2.2412,hsoy,NaN,NaN,,352.650479,21.315428,244.848682,-0.640817,16.379,0.143,14.614,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.283,0.03,9.552,0.024,9.237,0.023,AAA-222-111-000-0-0,27.2,9.174,0.022,9.008,0.019,8.846,0.033,8.466,0.37,13.141,0.000593636,0.019,gaiaj,,3291,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.312575,NaN,0,NaN,,,NaN
85,b'J16075136-1718231',0.540000021457672,0.0299999993294477,-4.09000015258789,0.0399999991059303,b'M2.5',0.600000023841858,0,b'2M',b'Simbad',241.964041666667,-17.3064444444444,411079334,241.964037,-17.306447,-8.48606,-21.438,12.607,STAR,2mass,0.0184906196296802,20180610,,,364-072585,16075136-1718231,1237668627306643533,J160751.36-171823.3,6249285855015539456,8830809,,tmgaia,2.05036,2.05035,hsoy,NaN,NaN,,355.632479,24.874522,243.280765,3.570074,16.748,0.167,15.088,0.08,18.6524,0.0204889,15.9354,0.00360831,14.4059,0.00312706,13.6807,0.00202161,12.4595,0.0035167,10.994,0.024,10.276,0.025,10.04,0.023,AAA-222-111-000-0-0,14,9.896,0.023,9.75,0.02,9.549,0.048,8.311,0.358,13.7266,0.000789785,0.017,gaiaj,,3364,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.275889,NaN,0,NaN,,,NaN
