#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#_2MASS, sMmb, Exc, Disk, W2mag, W3mag, W4mag, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@string, string, string, string, float, float, float, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
_2MASS,sMmb,Exc,Disk,W2mag,W3mag,W4mag,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag_,e_w2mag,w3mag_,e_w3mag,w4mag_,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
b'J16120505-2043404',b'Y',b'EEE',b'E',8.71000003814697,7.5,5.92999982833862,243.021041666667,-20.7279166666667,49200695,243.021043,-20.727919,-10.4413,-23.6398,11.686,STAR,2mass,0.00952438120395883,20180610,,,347-077672,16120505-2043404,,J161205.04-204340.7,6243868698664358784,11483130,,tmgaia,2.14388,2.14381,hsoy,NaN,NaN,,353.612819,21.830201,244.893115,0.39064,15.586,0.047,14.091,0.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.102,0.024,9.321,0.023,9.065,0.024,AAA-222-111-000-0-0,21.2,8.91,0.023,8.714,0.021,7.497,0.019,5.931,0.058,12.7891,0.000501713,0.017,gaiaj,,3370,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.319151,NaN,0,NaN,,,NaN
b'J16011398-2516281',b'Y',b'EEE',b'E',9.97000026702881,8.78999996185303,6.80999994277954,240.308291666667,-25.2745,66925320,240.308285,-25.274503,-13.247,-21.3863,13.095,STAR,2mass,0.0242412961851398,20180610,,,324-080824,16011398-2516281,,J160113.98-251628.4,6235879475377963264,13654651,,tmgaia,2.10222,2.0904,hsoy,NaN,NaN,,348.248808,20.46008,243.299329,-4.545592,17.645,0.355,16.399,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.357,0.024,10.697,0.022,10.419,0.023,AAA-222-111-000-0-0,19.9,10.245,0.023,9.974,0.021,8.794,0.031,6.805,0.076,14.2847,0.00104664,0.017,gaiaj,,3186,159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.135326,NaN,0,NaN,,,NaN
b'J16271273-2504017',b'Y',b'EEE',b'F',8.64000034332275,7.25,5.48000001907349,246.803083333333,-25.0671666666667,175629957,246.803074,-25.067161,-3.35574,-27.1466,12.186,STAR,2mass,0.0366396766567345,20180610,,,325-084830,16271273-2504017,,J162712.72-250401.9,6049044996387646592,13673200,,tmgaia,2.25436,2.25435,hsoy,NaN,NaN,,352.670801,16.337834,249.060338,-3.298432,16.426,0.189,15.68,0.732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.553,0.023,9.757,0.024,9.382,0.021,AAA-222-111-000-0-0,10.9,8.982,0.024,8.637,0.019,7.254,0.019,5.483,0.041,13.3172,0.000646336,0.017,gaiaj,,2943,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,1.04845,NaN,0,NaN,,,NaN
b'J16064794-1841437',b'Y',b'XEE',b'T',8.75,8.10000038146973,3.9300000667572,241.69975,-18.6955,161828768,241.69976,-18.695505,-9.60617,-17.2373,11.046,STAR,2mass,0.0385595961395542,20180610,,,357-075720,16064794-1841437,1237674654766072065,J160647.93-184144.1,6248832409549141248,8829179,,tmgaia,2.14658,2.14657,hsoy,NaN,NaN,,354.31972,24.122401,243.295093,2.158534,13.893,0.044,12.65,0.069,15.8757,0.00730852,13.5067,0.00236647,12.0796,0.001216,11.5108,0.000465008,12.7426,0.011644,9.886,0.022,9.184,0.026,8.979,0.028,AAA-222-111-000-0-0,14.8,8.798,0.023,8.754,0.02,8.103,0.022,3.927,0.022,11.8851,0.000345996,0.017,gaiaj,,3838,164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.234047,NaN,0,NaN,,,NaN
b'J16200616-2212385',b'Y',b'XEE',b'E',10.1000003814697,8.47999954223633,7.19999980926514,245.025666666667,-22.2106944444444,49974341,245.025664,-22.210706,-13.274,-26.3648,13.335,STAR,2mass,0.0425388162450395,20180610,,,339-078304,16200616-2212385,,J162006.14-221238.7,6052065973304173696,11495367,,tmgaia,2.1377,2.13781,hsoy,NaN,NaN,,353.778125,19.452262,246.988425,-0.74443,17.338,0.162,16.321,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.608,0.022,10.944,0.023,10.653,0.019,AAA-222-111-000-0-0,8.2,10.44,0.024,10.124,0.02,8.481,0.028,7.204,0.128,14.5192,0.0011827,0.017,gaiaj,,3101,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.210253,NaN,0,NaN,,,NaN
b'J16153220-2010236',b'Y',b'EEE',b'F',8.15999984741211,6.67999982833862,4.57000017166138,243.884166666667,-20.17325,49520714,243.88418,-20.173249,-13.4379,-30.2692,11.98,STAR,2mass,0.0451989914628808,20180610,,,350-080160,16153220-2010236,,J161532.19-201023.8,6245413031464237056,11488960,,tmgaia,2.14481,2.14628,hsoy,NaN,NaN,,354.640085,21.604533,245.590407,1.080261,16.093,0.115,14.608,0.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.158,0.024,9.273,0.024,8.908,0.022,AAA-222-111-000-0-0,27.9,8.437,0.024,8.158,0.022,6.675,0.017,4.571,0.026,13.2171,0.000615808,0.017,gaiaj,,3230,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.59436,NaN,0,NaN,,,NaN
b'J16120668-3010270',b'Y',b'EEE',b'F',8.8100004196167,6.57999992370605,3.59999990463257,243.027833333333,-30.1741944444444,95282711,243.02785,-30.174198,-26.5304,-14.3283,11.556,STAR,2mass,0.0534260686599535,20180610,,,300-090317,16120668-3010270,,J161206.67-301027.3,6038520952128310528,16623920,,tmgaia,2.35614,2.35613,hsoy,NaN,NaN,,346.421577,15.285713,246.61688,-8.898266,14.652,0.13,13.536,0.126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.35,0.023,9.599,0.025,9.317,0.023,AAA-222-111-000-0-0,6.3,8.99,0.023,8.811,0.02,6.576,0.016,3.604,0.022,12.4253,0.000422388,0.018,gaiaj,,3612,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
b'J15573430-2321123',b'Y',b'EEE',b'E',8.67000007629395,8.30000019073486,5.57999992370605,239.392958333333,-23.3534166666667,280156884,239.39294,-23.35342,-13.7634,-22.6203,11.445,STAR,2mass,0.0617699207240251,20180610,,,334-078428,15573430-2321123,,J155734.29-232112.4,6237142264484167296,11453192,,tmgaia,2.29738,2.29737,hsoy,NaN,NaN,,349.051242,22.416727,242.094956,-2.830406,15.571,0.366,13.833,0.095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.932,0.024,9.235,0.026,8.992,0.021,AAA-222-111-000-0-0,24.3,8.782,0.024,8.672,0.02,8.296,0.027,5.576,0.036,12.5058,0.000438715,0.017,gaiaj,,3417,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.166981,NaN,0,NaN,,,NaN
b'J16041893-2430392',b'Y',b'EEE',b'F',8.22999954223633,6.57000017166138,4.51999998092651,241.078875,-24.5109166666667,67277391,241.078892,-24.510906,NaN,NaN,11.018,STAR,2mass,0.0676413812850658,20180610,,,328-082070,16041893-2430392,,J160418.92-243039.5,6236047425780338944,11468375,,tmmgaia,NaN,NaN,,NaN,NaN,,349.352632,20.50999,243.837217,-3.660237,15.365,0.114,14.033,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.975,0.026,9.216,0.027,8.853,0.024,AAA-222-111-000-0-0,19.8,8.61,0.021,8.229,0.019,6.567,0.015,4.522,0.03,11.7794,0.0003,0.018,gaiaj,,3245,165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0925338,NaN,0,NaN,,,NaN
b'J16100501-2132318',b'Y',b'EEE',b'F',8.22999954223633,6.25,3.64000010490417,242.520916666667,-21.5421944444444,49068768,242.520913,-21.542174,-14.3201,-23.4774,11.379,STAR,2mass,0.0746170756560434,20180610,,,343-080850,16100501-2132318,,J161005.01-213232.1,6242970706903716480,11479986,,tmgaia,2.24116,2.24115,hsoy,NaN,NaN,,352.628779,21.618187,244.582617,-0.494916,14.503,0.184,13.15,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.069,0.026,9.328,0.026,8.951,0.027,AAA-222-111-000-0-0,24.7,8.474,0.024,8.227,0.021,6.253,0.017,3.643,0.021,12.3152,0.000401052,0.018,gaiaj,,3619,162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.298561,NaN,0,NaN,,,NaN
