#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a Generic Table with these header lines unmodified.
#Seq, pmRA, pmDE, Bmag, Vmag, Jmag, Hmag, Ksmag, rmag, plx, Dist, RV, Vpar, Vper, Mass, M, Simbad, RAJ2000, DEJ2000, RA, DEC, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, Source of Position, pmRA Err., pmDec Err., PM Flag, Parallax, Parallax Err., Source of Parallax, Gal. Long., Gal. Lat., Ecl. Long., Ecl. Lat., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., TWOMflag, prox, W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., TESS Flag, Stellar Properties Flag, T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Stellar Density, Stellar Density Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
#@float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, string, ra, dec, ra, dec, string, float, float, float, float, float, string, string, float, string, string, string, string, string, string, string, string, string, string, string, float, float, string, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, float, float, float, float, float, float, string, string, float, float, float, float, float, float, float, float, float, float, float, float, string, float, float, float, float, float, float, int, float, string, string, float
Seq,pmRA,pmDE,Bmag,Vmag,Jmag,Hmag,Ksmag,rmag,plx,Dist,RV,Vpar,Vper,Mass,M,Simbad,RAJ2000,DEJ2000,RA,DEC,MatchID,MatchRA,MatchDEC,pmRA_,pmDEC,Tmag,objType,typeSrc,dstArcSec,version,HIP,TYC,UCAC,TWOMASS,SDSS,ALLWISE,GAIA,APASS,KIC,POSflag,e_pmRA,e_pmDEC,PMflag,plx_,e_plx,PARflag,gallong,gallat,eclong,eclat,Bmag_,e_Bmag,Vmag_,e_Vmag,umag,e_umag,gmag,e_gmag,rmag_,e_rmag,imag,e_imag,zmag,e_zmag,Jmag_,e_Jmag,Hmag_,e_Hmag,Kmag,e_Kmag,TWOMflag,prox,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,GAIAmag,e_GAIAmag,e_Tmag,TESSflag,SPFlag,Teff,e_Teff,logg,e_logg,MH,e_MH,rad,e_rad,mass_,e_mass,rho,e_rho,lumclass,lum,e_lum,d,e_d,ebv,e_ebv,numcont,contratio,disposition,duplicate_id,priority
612,73.6699981689453,-39.7700004577637,NaN,NaN,12.6770000457764,12.1129999160767,11.8149995803833,16.9740009307861,19.9899997711182,7.34999990463257,40.8199996948242,19.8400001525879,-0.709999978542328,0.150000005960464,b'M',b'Simbad',74.592708,19.317143,74.592708,19.317143,68812391,74.592708,19.317143,68.616,-33.0596,14.489,STAR,2mass,0,20180610,,,,04582223+1919017,,J045822.29+191901.2,3408234498462403200,42974343,,tmgaia,2.75081,2.75079,hsoy,NaN,NaN,,181.993965,-14.294855,75.454416,-3.347539,16.574,0.079,15.839,0.113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.677,0.022,12.113,0.025,11.815,0.021,AAA-222-111-000-0-0,10.4,11.593,0.022,11.431,0.019,11.235,0.195,8.769,NaN,15.7205,0.00233746,0.017,gaiaj,,3694,167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
372,80.9599990844727,-48.310001373291,9.98499965667725,9.18200016021729,7.8439998626709,7.53399991989136,7.46199989318848,NaN,17.0599994659424,15.25,37.0699996948242,26.1800003051758,-0.720000028610229,1,b'M',b'Simbad',67.378186,26.671549,67.378186,26.671549,268148866,67.378187,26.671551,82.7952,-48.4774,8.47,STAR,2mass,0.00788598135293983,20180610,20949,1837-00270-1,584-012658,04293075+2640176,,J042930.83+264017.0,151379146007107200,46686197,,tmgaia,0.0821605,0.0574516,tgas,17.6029,0.405341,tgas,171.777221,-14.888273,69.822512,4.80304,9.952,0.074054,9.187,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.844,0.021,7.534,0.027,7.462,0.029,AAA-111-111-000-0-0,10.5,7.37,0.035,7.436,0.02,7.431,0.019,7.353,0.161,8.93334,0.000345996,0.017,gaiaj,tplx,5361,75,4.56,0.15,0.0441284,0.0287348,1.24253,0.12268,1.19063,0.185004,0.620663,0.183842,DWARF,1.148925,0.226876,56.80882,1.62744,NaN,NaN,59,0.04232867,,,NaN
186,121.330001831055,-21.9699993133545,12.1350002288818,10.9309997558594,8.55799961090088,7.98199987411499,7.85300016403198,10.4320001602173,22.75,3.49000000953674,37.4199981689453,25.6800003051758,0.550000011920929,0.720000028610229,b'M',b'Simbad',63.890368,15.70627,63.890368,15.70627,434236912,63.890369,15.706272,120.51,-23.2,9.57567,STAR,2mass,0.00799063640686249,20180610,,,529-008064,04153367+1542226,1237671256904761349,J041533.77+154222.2,3312197930211158784,42929967,,tmgaia,2,2,sblink,NaN,NaN,,178.29762,-24.543166,64.81119,-5.479014,12.211,0.035,10.795,0.034,15.8524,0.0131085,11.7216,0.000587732,10.484,0.000485163,10.0363,0.000333574,10.3837,0.0015635,8.558,0.026,7.982,0.021,7.853,0.023,AAA-111-111-000-0-0,55.8,7.77,0.027,7.846,0.019,7.778,0.019,8.279,0.304,10.32,0.000345996,0.0183355,gaiaj,,4132,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.42914,NaN,0,NaN,,,NaN
47,123.519996643066,15.8100004196167,13.2489995956421,11.9670000076294,9.36900043487549,8.72299957275391,8.55500030517578,11.2980003356934,17.4200000762939,20.0300006866455,30.4699993133545,33.6399993896484,3.98000001907349,0.680000007152557,b'M',b'Simbad',49.562916,9.24515,49.562916,9.24515,471011391,49.562913,9.24515,123.52,15.81,11.91,STAR,hip,0.0106597076977235,20180610,15374,,,,,,,,,hip,4.78,4.06,hip,24.54,3.95,hip,172.432715,-39.124833,49.634963,-8.709287,NaN,NaN,11.91,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,hipvm,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,40.74979,6.55916,0.2616,NaN,24,NaN,,,NaN
272,105.559997558594,-18.5599994659424,9.95899963378906,9.09099960327148,7.61100006103516,7.25500011444092,7.14499998092651,NaN,20.8999996185303,2.45000004768372,38.3400001525879,24.2999992370605,0.449999988079071,0.959999978542328,b'M',b'Simbad',65.884713,14.670477,65.884713,14.670477,435930763,65.884714,14.67048,109.267,-17.9643,8.302,STAR,2mass,0.0113476314908454,20180610,20492,0680-00194-1,524-008149,04233231+1440137,,J042332.40+144013.5,3311148824319241472,40740367,,tmgaia,0.157906,0.113686,tgas,21.5662,0.243657,tgas,180.518947,-23.725882,66.54205,-6.826531,9.913,NaN,9.11,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.611,0.018,7.255,0.02,7.145,0.017,AAA-111-111-000-0-0,44.4,7.105,0.039,7.149,0.02,7.145,0.018,7.089,0.133,8.81356,0.000345996,0.017,gaiaj,tplx,5264.13,33.3496,NaN,NaN,0.08,0.1,1.16478,0.103539,1.09845,0.136996,0.695102,0.185366,DWARF,0.9386181,0.1668703,46.36885,0.830965,0.662706,NaN,29,0.0004379684,,,0.003620176
684,40.7999992370605,-4.46000003814697,NaN,NaN,9.86800003051758,9.28999996185303,9.11200046539307,11.6759996414185,15.0500001907349,25.7399997711182,43.5200004577637,12.8800001144409,-1.04999995231628,0.639999985694885,b'M',b'Simbad',81.227621,7.339805,81.227621,7.339805,365571200,81.227623,7.339802,47.89,1.86,10.843,STAR,2mass,0.0129473518311344,20180610,,,487-011350,05245462+0720232,,J052454.66+072023.2,3241108868478095232,38367553,,tmgaia,2,2,sblink,NaN,NaN,,196.014563,-15.494422,80.954544,-15.824462,13.403,0.063,11.974,0.057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.868,0.023,9.29,0.033,9.112,0.02,AAA-222-111-000-0-0,24.6,9.04,0.024,9.094,0.019,8.897,0.034,8.586,0.427,11.5573,0.000345996,0.018,gaiaj,,4306,167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
278,119.830001831055,-44.0299987792969,NaN,NaN,10.8669996261597,10.2530002593994,9.99899959564209,14.6260004043579,23.5699996948242,5.82000017166138,37.439998626709,25.6599998474121,0.850000023841858,0.319999992847443,b'M',b'Simbad',65.989197,22.181603,65.989197,22.181603,17339381,65.9892,22.1816,114.65,-44.44,12.473,STAR,2mass,0.0147191794156158,20180610,,,561-009935,04235738+2210537,1237664089680052301,J042357.49+221053.2,145668974100568320,44948339,,tmgaia,2,2,sblink,NaN,NaN,,174.427043,-18.803515,67.863599,0.568595,16.831,0.146,15.241,0.028,18.4436,0.0156225,16.0981,0.00375873,14.759,0.00830322,13.414,0.00240867,12.3784,0.00340244,10.867,0.021,10.253,0.02,9.999,0.017,AAA-222-111-000-0-0,15.7,9.857,0.024,9.682,0.02,9.505,0.05,8.643,NaN,13.6135,0.000746901,0.04,cdwrf,cdwrf,3301,63,4.96823,0.407381,NaN,NaN,0.276,0.045,0.258,0.063,12.2714,6.00229,DWARF,0.008148825,0.002657225,70.77316,NaN,0.415445,NaN,45,0.01768911,,,NaN
235,109.160003662109,-48.5900001525879,NaN,NaN,11.0629997253418,10.4829998016357,10.2150001525879,14.6840000152588,22.0799999237061,2.53999996185303,37.5800018310547,25.4500007629395,-3.21000003814697,0.310000002384186,b'M',b'Simbad',65.115101,18.897196,65.115101,18.897196,17233315,65.1151,18.8972,99.87,-32.39,12.715,STAR,2mass,0.0147973170896211,20180610,,,545-009347,04202761+1853499,,J042027.70+185349.6,47760517368029056,,,tmgaia,2,2,sblink,NaN,NaN,,176.49451,-21.577114,66.515145,-2.536187,NaN,NaN,15.37,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.063,0.021,10.483,0.022,10.215,0.018,AAA-222-111-000-0-0,16.1,10.062,0.024,9.909,0.021,9.744,0.053,8.239,NaN,13.7818,0.00081171,0.059,cdwrf,cdwrf,3255,99,4.98967,0.522242,NaN,NaN,0.264,0.058,0.248,0.07,13.4784,8.88352,DWARF,0.007048659,0.003097138,71.7275,NaN,0.54684,NaN,41,1.210875,,,NaN
652,60.8899993896484,61.4799995422363,NaN,NaN,12.5769996643066,11.9860000610352,11.6319999694824,17.1639995574951,18.5100002288818,29.4400005340576,39.6100006103516,22.1599998474121,0.0299999993294477,0.180000007152557,b'M',b'Simbad',77.561699,-14.632704,77.561699,-14.632704,169451662,77.5617,-14.6327,66.56,66.15,14.463,STAR,2mass,0.0148152935308274,20180610,,,,05101481-1437578,,J051014.86-143757.1,2986666415932589056,,,tmgaia,2,2,sblink,NaN,NaN,,215.307991,-28.892529,74.787769,-37.417433,19.466,0.163,17.73,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.577,0.022,11.986,0.023,11.632,0.022,AAA-222-111-000-0-0,26.1,11.454,0.023,11.266,0.021,11.072,0.144,8.933,NaN,15.7142,0.00232847,0.059,cdwrf,cdwrf,3016,97,5.11107,0.525344,NaN,NaN,0.17,0.037,0.136,0.04,27.6817,18.0745,DWARF,0.002154358,0.0009377794,NaN,NaN,0.14842,NaN,26,0.00944511,,,0.001450906
615,84.8300018310547,-15.9200000762939,NaN,NaN,11.8380002975464,11.2250003814697,10.9479999542236,16.0790004730225,22.6700000762939,7.15999984741211,41.6500015258789,18.0499992370605,0.400000005960464,0.200000002980232,b'M',b'Simbad',74.762999,12.262504,74.762999,12.262504,59127215,74.763,12.2625,86.08,-20.13,13.687,STAR,2mass,0.0148234738219836,20180610,,,512-008981,04590311+1215449,1237673450557473092,J045903.17+121544.7,,,,2mass,2,2,sblink,NaN,NaN,,188.101177,-18.224254,74.865315,-10.379833,18.668,0.162,16.96,0.2,20.1837,0.0443743,17.5825,0.00552135,16.0579,0.00429508,14.3568,0.00415954,13.39,0.00455624,11.838,0.023,11.225,0.023,10.948,0.016,AAA-222-111-000-0-0,68.9,10.762,0.024,10.572,0.02,10.43,0.096,8.2,NaN,NaN,NaN,0.058,cdwrf,cdwrf,3103,68,5.06682,0.441663,NaN,NaN,0.2,0.037,0.17,0.041,21.25,11.7937,DWARF,0.003341041,0.001236185,NaN,NaN,0.501361,NaN,48,2.95589E-05,,,0.001692805
